Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,PROMO!1 Bedroom Apartment- Renovated -,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/promo-1-bedroom-apartment-renovated/1647496842,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/53/5382f280-8b6e-41b8-8f34-54dc9bb572a6?rule=kijijica-200-jpg,"Welcome to Gowan Court! The incredible bachelors, 1 and 2 bedroom suites here are bright, spacious and in the ideal location! Call us today to learn more about our incredible suites available to ...","$2,209.00",City of Toronto,Pape Avenue,17/01/2023
2,Brand new one-bedroom suite located in a luxurious townhome,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-one-bedroom-suite-located-in-a-luxurious-townhome/1648167286,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/59/5910d9a6-380c-4e1e-9943-641c9d30d3de?rule=kijijica-200-jpg,"This property located on Lawrence & Blackstone has a range of top-of-the-line features, including: • A spacious bedroom with a closet, an En-suite bathroom, complete with a glass standing shower. • A ...","$2,050.00",Toronto,Gowan Avenue,< 7 hours ago
3,1 Bedrooms: Brand New Luxury Building In King West,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedrooms:-brand-new-luxury-building-in-king-west/1632120276,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e4/e46390c4-a807-4e41-8193-6dcd44f196ce?rule=kijijica-200-jpg,Just Opened! Brand New Luxury Rental Building On Wellington! Live in the heart of King West! Brand new luxury rental building offering a variety of 1 Bedroom and 1+ Den Floorplans. Move in anywhere ...,"$2,591.00",Toronto,Lawrence Avenue West,< 6 hours ago
4,"renovated one bedroom, Broadview and Cosburn - ID 910",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-broadview-and-cosburn-id-910/1647637497,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/4f/4fcb1c89-02af-41f3-86a0-3d151ac0d620?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Broadview and Cosburn in the East York neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 4 - approximately 590 ...","$2,050.00",City of Toronto,Renfield Street,19/01/2023
5,1BR & 2BR New Condo units available at Yonge & Eglinton !!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-new-condo-units-available-at-yonge-eglinton/1639923777,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8a/8ac406d4-787b-4ae7-af24-431879865159?rule=kijijica-200-jpg,"Looking for a couple/working professionals to lease New Condo units at Yonge & Eglinton Ave W available immediately !! Steps to Eglinton TTC Subway Station, Direct Underground Access to ...","$2,400.00",City of Toronto,Spadina Avenue,14/01/2023
6,Upgraded two bedroom apartment/The Beaches - ID 196,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upgraded-two-bedroom-apartment-the-beaches-id-196/1646013025,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e5/e502a64c-a0b8-485c-a1be-e1260fde2475?rule=kijijica-200-jpg,"Renovated Akelius two bedroom apartment for rent. Queen Street East & Victoria Park in the Scarborough neighborhood, Toronto. renovated two bedroom suite - 1 bathroom - located on floor 3 - ...","$2,185.00",City of Toronto,Wellington Street West,04/01/2023
7,Motion - 1 Bed + Den Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/motion-1-bed-den-apartment-for-rent/1646013164,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e3/e388c23b-e007-4a8b-bfff-abc495a286a3?rule=kijijica-200-jpg,"Located in one of downtown Toronto's most popular neighbourhoods, Motion stands at 29-storeys tall and is just minutes' walk from the downtown Toronto core, the Eaton Centre, the financial district, ...","$3,400.00",City of Toronto,Broadview Avenue,04/01/2023
8,Mid-Town Toronto 1 Bedroom Rental!  Davisville & Mt. Pleasant,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/mid-town-toronto-1-bedroom-rental-davisville-mt-pleasant/1646012473,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/24/24eba7bc-c5f4-4dfe-9845-ba0b860524c8?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,000.00",City of Toronto,Bater Avenue,04/01/2023
9,1 Bedroom Apartment for Rent! Dufferin St./Lawrence Ave.!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-dufferin-st-lawrence-ave/1646012475,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/26/261335c6-8121-4427-8316-1df89502c40b?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$1,750.00",City of Toronto,Yonge Street,04/01/2023
10,Shared Condo - Separate Bedroom and Washroom in North York,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/shared-condo-separate-bedroom-and-washroom-in-north-york/1639210144,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ce/cef1e86a-a79a-4d85-8a00-466e2fbae43a?rule=kijijica-200-jpg,"Corner Unit in Menkes-Built Condo In Heart Of North York. A. Ideal Location close to: 1. TTC Subway - Yonge and Sheppard (10 min walk) 2. 401 Highway 3. Grocery Stores - Whole Foods, Food Basics and ...","$1,400.00",City of Toronto,Roehampton Avenue,04/01/2023
