Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,1 bed 1bath Waterfront Condo next to Westin hotel and Ferry,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1bath-waterfront-condo-next-to-westin-hotel-and-ferry/1647750866,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ca/ca4756eb-d367-4679-95d3-013e47689ab3?rule=kijijica-200-jpg,Prestigious condo building at harbour front in downtown Toronto. Next to the Westin hotel and Ferry Terminal. 1 bed and 1 bath condo on 24th floor. Rent includes ALL UTILITIES including Internet and ...,"$2,600.00",Toronto,Queens Quay West,20/01/2023
2,Downtown 1 Bedroom Jr Apartment for Rent - 155 Wellesley Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-jr-apartment-for-rent-155-wellesley-street/1643994390,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/86/86facc36-4e51-439e-9f1c-156377091549?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now!437-218-5969Virtual Open House: View our units by ...","$2,123.00",City of Toronto,Bay Street,< 24 hours ago
3,Renovated Bachelor/Studio at 1001 O'Connor Drive - ID 73,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-studio-at-1001-oconnor-drive-id-73/1647637224,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8e/8e1edc51-25d2-4090-9d79-73bdc7967e66?rule=kijijica-200-jpg,"Renovated Akelius studio apartment for rent. O'Connor & St. Clair East in the East York neighborhood, Toronto. renovated studio - 1 bathroom - approximately 325 square feet - available 2023-02-01 for ...","$1,525.00",City of Toronto,O'Connor Drive,19/01/2023
4,Penthouse 2-Bedroom + Den For Rent !  Woodbine/Gerrard!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/penthouse-2-bedroom-den-for-rent-woodbine-gerrard/1628292511,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/96/968faa4d-da39-4df9-88af-dfb8aac707b0?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$3,595.00",City of Toronto,Dohme Avenue,04/01/2023
5,"Downtown 1 Bedroom Apartment for Rent - 80 Wellesley Street, Eas",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-apartment-for-rent-80-wellesley-street-eas/1641098137,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/35/3590cb98-f7af-40df-af57-9ab50082b24f?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now! (647) 558-2263Virtual Open House: View our units by ...","$2,197.00",City of Toronto,Adelaide Street West,< 24 hours ago
6,"Bright, Fresh, and Stylish Corner Unit in the Heart of Downtown",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-fresh-and-stylish-corner-unit-in-the-heart-of-downtown/1646872898,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b3/b3a44429-8061-41ac-846d-33ef3229f77f?rule=kijijica-200-jpg,"Bright, Fresh, and Stylish Corner Unit in the Urban Heart of Downtown Good as new 2-bed, 2-bath home featuring 9-foot high ceilings, floor-to-ceiling windows with custom blackout blinds throughout, a ...","$3,500.00",City of Toronto,Adelaide Place,11/01/2023
7,"Live in a Unique Work of Art, An Oasis in Desirable City Pocket",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/live-in-a-unique-work-of-art-an-oasis-in-desirable-city-pocket/1640881981,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/88/889e4df5-1c99-43dc-b8ca-436c6906ddef?rule=kijijica-200-jpg,"Newly renovated with meticulous care, this home now has a massive 2300 square feet of living space with newly installed blinds including automatic ones for the skylights. The open concept layout ...","$6,000.00",City of Toronto,Jones Avenue,11/01/2023
8,FURNISHED 1 BEDROOM CONDO FOR RENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-1-bedroom-condo-for-rent/1646871459,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a7/a7a04cc1-ca41-4070-a9ff-f3abd5b70b30?rule=kijijica-200-jpg,"FURNISHED 1BR Condo On 5th Floor W/ Huge Balcony. Easy Access To Highway, Minutes To The Financial District, Distillery, & Union Station, St Laurence market, Loblaws Just Across the Street. 24 Hrs ...",Please Contact,City of Toronto,Hunter Street,11/01/2023
9,"One room available in basement at Morningside, Scarborough",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-room-available-in-basement-at-morningside-scarborough/1646870003,,Close to Centennial college/UFT Scarborough Shared kitchen and bathrooms,Please Contact,City of Toronto,Lake Shore Boulevard East,11/01/2023
10,Basement unit available for rent in Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-unit-available-for-rent-in-toronto/1646869350,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4c/4c50c143-1e4d-4674-b611-fae86814e732?rule=kijijica-200-jpg,"The property is located in midtown Toronto but it is still in a quiet neighborhood. As well, the basement was just renovated, and the walls, floor, bathroom, paint, and everything has been upgraded. ...","$1,700.00",City of Toronto,Freeland Street,11/01/2023
