Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Bachelor for Rent Steps to Victoria Park Station!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-for-rent-steps-to-victoria-park-station/1643370118,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/74/742bb861-df40-462d-9ca7-ca7b6e5dd702?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,149.00",City of Toronto,Denton Avenue,05/01/2023
2,"1 Bdrm available at 1216 York Mills Road, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-available-at-1216-york-mills-road-toronto/1641994541,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/42/42550641-95f5-4603-b3b4-027a2b7b7c25?rule=kijijica-200-jpg,"Visit our Website: https://www.capreit.ca/apartments-for-rent/toronto-on/don-view-towers/ Rental Office is located at 2265 Victoria Park, Scarborough This friendly 8-storey, 65-suite building offers ...","$2,245.00",Toronto,MacEy Avenue,< 2 hours ago
3,2 Bedroom - 80 Forest Manor Road - Close to Seneca!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-80-forest-manor-road-close-to-seneca/1647092667,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/65/65e22961-7fca-4a9d-9542-2b2ea870af20?rule=kijijica-200-jpg,"Excellent access to the DVP and 401, combined with the convenience of being directly across the street from the Fairview Mall. Two-Bedroom available April Monthly rent from $2,660 plus electricity ...","$2,660.00",City of Toronto,Sandover Drive,< 24 hours ago
4,1 Bedroom Apartment- North York Don Valley Parkway Brookbanks Dr,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-north-york-don-valley-parkway-brookbanks-dr/1638089620,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/39/396984b3-b69b-4893-864c-a1d389979b7c?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,599.00",City of Toronto,Clayland Drive,22/01/2023
5,PROMO!1 Bedroom Apartment- Renovated -,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/promo-1-bedroom-apartment-renovated/1647496842,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/53/5382f280-8b6e-41b8-8f34-54dc9bb572a6?rule=kijijica-200-jpg,"Welcome to Gowan Court! The incredible bachelors, 1 and 2 bedroom suites here are bright, spacious and in the ideal location! Call us today to learn more about our incredible suites available to ...","$2,209.00",City of Toronto,Brookbanks Drive,17/01/2023
6,"Downtown 1 Bedroom, 1 Bathroom Condo with Parking/Utilities",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-1-bathroom-condo-with-parking-utilities/1648204801,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ee/ee9af947-a519-4b20-9f0e-7a98c3742811?rule=kijijica-200-jpg,"This 1 bedroom, 1 bathroom condo is right downtown, ideal for a working professional/couple. Closest major intersection is King St W and Peter St. It's a spacious condo at 630 square feet plus 70 ...","$2,100.00",Toronto,Valley Woods Road,< 55 minutes ago
7,Toronto 1 Bedroom Apartment for Rent - 837 Roselawn Avenue,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-1-bedroom-apartment-for-rent-837-roselawn-avenue/1636150464,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f5/f5101a80-6062-489f-99b3-7ac68f8c781d?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing.Virtual Open House: View our units by clicking the virtual tour ...","$1,999.00",City of Toronto,Pape Avenue,< 2 hours ago
8,"1BDR @ KEELE & EGLINTON - PARKING, LAUNDRY, BACKYARD, AC INCL",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1bdr-keele-eglinton-parking-laundry-backyard-ac-incl/1648203494,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f3/f37f160a-0769-4919-8777-b4218ebab93b?rule=kijijica-200-jpg,"PLEASE READ CAREFULLY BEFORE REPLYING! -AVAILABLE STARTING MARCH 15TH ONLY -2 TENANTS MAXIMUM AS THIS IS A SMALLER 1 BEDROOM UNIT -MUST HAVE A COMBINED INCOME OF $60 000 OR MORE -JOB LETTERS, PAY ...","$1,550.00",Toronto,Gowan Avenue,< 2 hours ago
9,Main floor unit for rent in Weston Village,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-floor-unit-for-rent-in-weston-village/1637658408,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b028b89-4549-483e-ae9c-b2a47b858089?rule=kijijica-200-jpg,Feel like you're living in your own home with this spacious 1 bedroom main floor unit available for only $1600 per month! One year lease term with first and last month's deposit required. All ...,"$1,600.00",Toronto,Wellington Street West,< 2 hours ago
10,Cozy bachelor  Bathurst  Steeles  furnished  for few months,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/cozy-bachelor-bathurst-steeles-furnished-for-few-months/1648202897,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/6a/6a673f14-b1ec-4e5c-9a00-dc80a8f9b2c2?rule=kijijica-200-jpg,Cozy clean Bachelor,"$1,200.00",Toronto,Windsor Street,< 2 hours ago
