Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,"renovated one bedroom, Broadview and Cosburn - ID 2550",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-broadview-and-cosburn-id-2550/1647637338,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/77/772e3aa2-bcb9-4b5a-966b-b2d1f05c0fdd?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Broadview and Cosburn in the East York neighborhood, Toronto. renovated one bedroom ground floor - 1 bathroom - approximately 555 square feet - ...","$1,900.00",City of Toronto,Jameson Avenue,19/01/2023
2,Large Renovated 1 Bedroom with Balcony,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-renovated-1-bedroom-with-balcony/1624777015,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/15/15e07281-c0e8-48b7-90d0-b3da5f7391bf?rule=kijijica-200-jpg,"Viewings Please call 647-694-2142 Walk in hours: Monday-Friday, 9am-5pm Weekends 12pm-5pm Location 22 Close Avenue King St. & Jameson Ave. Suite Features: 680 sq.ft. Walking distance to the lake ...","$2,100.00",City of Toronto,Springhurst Avenue,20/01/2023
3,Mid-Town Toronto 1 Bedroom Rental!  Davisville & Mt. Pleasant,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/mid-town-toronto-1-bedroom-rental-davisville-mt-pleasant/1646012473,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/24/24eba7bc-c5f4-4dfe-9845-ba0b860524c8?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,000.00",City of Toronto,Broadview Avenue,04/01/2023
4,"renovated one bedroom, Broadview and Cosburn - ID 910",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-broadview-and-cosburn-id-910/1647637497,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/4f/4fcb1c89-02af-41f3-86a0-3d151ac0d620?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Broadview and Cosburn in the East York neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 4 - approximately 590 ...","$2,050.00",City of Toronto,Bater Avenue,19/01/2023
5,Brand New 2 Bedroom 2 Bathroom Condo in E2 Yonge & Eglinton,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-bedroom-2-bathroom-condo-in-e2-yonge-eglinton/1647044840,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5bc1d6af-7181-4b70-8656-cfa2e5d54640?rule=kijijica-200-jpg,"Be the first to live in suite 4006 at E2 Condos. This brand new 2 bedroom 2 bathroom suite towers over Yonge and Eglinton, with breathtaking views of the city. The suite includes 2 bedrooms, 2 full ...","$2,795.00",City of Toronto,Yonge Street,21/01/2023
6,1 Bedroom for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent/1646997475,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/86/86c6e04c-2a19-469a-92f1-921ad70fcbf0?rule=kijijica-200-jpg,"Good for a single ladies. Close to Fresco, Shoppers, Tims and No Frill. 35 mins to Seneca Newnham 25 mins to York University.",$850.00,City of Toronto,Roehampton Avenue,13/01/2023
7,3 Bed 1 bath Bungalow  House For Rent in Scarborough,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bed-1-bath-bungalow-house-for-rent-in-scarborough/1646995064,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/84/84117bed-4cfc-4e61-9786-6cf6d85f9c61?rule=kijijica-200-jpg,"Fully renovated 3 Bedroom, 1 kitchen, living room ,1full washroom Detached bungalow house in secure area (Main Floor) of Scarborough available for rent. From January 15th 2023. House has been fully ...","$2,750.00",City of Toronto,Antibes Drive,13/01/2023
8,North York (Keele and Wilson)- 2 Bedroom Rental,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-keele-and-wilson-2-bedroom-rental/1646985909,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e2/e290f624-eb02-418a-b839-183bb0e94d2c?rule=kijijica-200-jpg,Private entrance 2-bedroom 1-bathroom 1-Kitchen Ground level rental located at Keele and Wilson $2000 utilities included Recently renovated 1 parking spot Shared laundry Utilities included Great ...,"$2,000.00",City of Toronto,Coneflower Crescent,13/01/2023
9,4 bedrooms 1.5 washrooms,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4-bedrooms-1-5-washrooms/1646985882,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/0d/0dce979b-9037-4b30-b10a-66a3f64a35f3?rule=kijijica-200-jpg,"Too top floors of a detached house for rent in a ravine lot with one way street . Family-friendly in a quiet neighborhood close to Humber river trail , golf courses, parks . 4 minutes walk to bus ...","$4,000.00",City of Toronto,Coronation Drive,13/01/2023
10,Studio renting transfer,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-renting-transfer/1646989183,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/66/66870968-3f6f-45f4-b36a-bac25fd97333?rule=kijijica-200-jpg,65 Dynevor road renting studio transfer from February 1st to March 30th 1419 per month（tax included） furniture included water and heat included electricity not included parking is not included,"$1,419.00",City of Toronto,Shoreview Drive,13/01/2023
