Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,1 Bedroom  - Upper Canada Court - 110/140/160 Erskine,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-upper-canada-court-110-140-160-erskine/1640738029,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d7/d71128c8-7c4b-4402-ac94-49a45e53ba17?rule=kijijica-200-jpg,"Newly Renovated (select units) Upper Canada Apartments offers you access to restaurants, shopping, theatres, schools, and much more! One-Bedroom available February, March and May Monthly rent from ...","$2,095.00",City of Toronto,University Avenue,< 24 hours ago
2,1 bed 1bath Waterfront Condo next to Westin hotel and Ferry,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1bath-waterfront-condo-next-to-westin-hotel-and-ferry/1647750866,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ca/ca4756eb-d367-4679-95d3-013e47689ab3?rule=kijijica-200-jpg,Prestigious condo building at harbour front in downtown Toronto. Next to the Westin hotel and Ferry Terminal. 1 bed and 1 bath condo on 24th floor. Rent includes ALL UTILITIES including Internet and ...,"$2,600.00",Toronto,Pearl Street,20/01/2023
3,2 Bdm. for Rent in Midtown Toronto!  Yonge and St. Claire Ave. W,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdm-for-rent-in-midtown-toronto-yonge-and-st-claire-ave-w/1639867929,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/34/3444993d-2153-413b-9556-38f4f2e8ea1a?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,400.00",City of Toronto,Queens Quay West,06/01/2023
4,Brand new one-bedroom suite located in a luxurious townhome,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-one-bedroom-suite-located-in-a-luxurious-townhome/1648167286,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/59/5910d9a6-380c-4e1e-9943-641c9d30d3de?rule=kijijica-200-jpg,"This property located on Lawrence & Blackstone has a range of top-of-the-line features, including: • A spacious bedroom with a closet, an En-suite bathroom, complete with a glass standing shower. • A ...","$2,050.00",Toronto,Bay Street,< 7 hours ago
5,1BR & 2BR Brand New Condo units at LakeShore & Windermere Ave !!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-brand-new-condo-units-at-lakeshore-windermere-ave/1633811860,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/10/103eff49-7b09-4182-8699-dae3cd50d8e3?rule=kijijica-200-jpg,"Looking for a couple/working professionals to lease brand new Condo units at LakeShore Blvd W & Windermere Ave available immediately !! Steps to Harbourfront, Ontario Place, CNE, High Park, Major ...","$2,450.00",City of Toronto,Lawrence Avenue West,17/01/2023
6,2-BEDROOM CONDOS for LEASE in HUMBER BAY: condoshumberbay.com,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condos-for-lease-in-humber-bay:-condoshumberbay-com/1648182739,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/cd/cde37b4c-acb4-4bfb-962b-810fb9490fc8?rule=kijijica-200-jpg,"Humber Bay shores is a popular sought area in the city. Situated in the South Etobicoke/Mimico area, it is becoming extremely popular with residents, as it is a 10-min drive to downtown Toronto, and ...",Please Contact,Toronto,Renfield Street,< 5 hours ago
7,1-BR CONDOS for LEASE in HUMBER BAY: condoshumberbay.com,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-br-condos-for-lease-in-humber-bay:-condoshumberbay-com/1648182608,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/cd/cd2bef89-c16c-42b5-9985-42a63c13c486?rule=kijijica-200-jpg,"Humber Bay shores is a popular sought area in the city. Situated in the South Etobicoke/Mimico area, it is becoming extremely popular with residents, as it is a 10-min drive to downtown Toronto, and ...",Please Contact,Toronto,Lake Shore Boulevard West,< 5 hours ago
8,Fully Furnished 2 Bed 2 Bath in downtown Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-furnished-2-bed-2-bath-in-downtown-toronto/1648180399,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f4/f41e9d8d-b6a4-497d-88fc-3cc730048273?rule=kijijica-200-jpg,"Newly built Upgraded, freshly painted and Beautifully furnished 2 bed 2 full baths located right in the heart of entertainment district. The living room is an open concept design with ensuite ...","$3,500.00",Toronto,Windermere Avenue,< 6 hours ago
9,1 Bdrm + Den Centrally Located *** Feb or March 1st ***,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-den-centrally-located-feb-or-march-1st/1648180364,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/02/0292c838-e6f1-428f-a703-49474fabc65c?rule=kijijica-200-jpg,"1 Bedroom + den apartment, in the Corso Italia area. This unit has its own separate entrance, newly renovated eat-in kitchen, living room with large windows and hardwood flooring Bedroom has a closet ...","$1,800.00",Toronto,Lake Shore Boulevard West,< 6 hours ago
10,Luxury 3 Bedrooms in King West! 1.5 Months Free!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-3-bedrooms-in-king-west-1-5-months-free/1632300463,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8f/8fbe6edd-9b25-411b-84fe-08419abe5d2a?rule=kijijica-200-jpg,FIND YOUR NEXT LUXURY 3 BEDROOM HOME IN THE HEART OF KING WEST! BRAND NEW BUILDING! 1.5 MONTHS FREE AND AN ANNUAL MEMBERSHIP TO CLIO ON SELECT SUITES! Move in anywhere from February to September! ...,"$4,525.00",Toronto,Brookers Lane,< 6 hours ago
11,1.5 Months Free! Luxury 2 Bedroom and 2 + Dens: Brand New!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-5-months-free-luxury-2-bedroom-and-2-dens:-brand-new/1632176547,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/0f/0f8fbfcd-083b-4379-9adc-e37871ff419f?rule=kijijica-200-jpg,BRAND NEW LUXURY RENTAL BUILDING IN KING WEST! Renting Two Bedroom and Two Plus Den units- Move in anywhere from February to September. Size range for 2 Bedrooms are 766-1150 sq ft - some of them ...,"$3,544.00",Toronto,Lake Shore Boulevard West,< 6 hours ago
12,1 Bedrooms: Brand New Luxury Building In King West,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedrooms:-brand-new-luxury-building-in-king-west/1632120276,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e4/e46390c4-a807-4e41-8193-6dcd44f196ce?rule=kijijica-200-jpg,Just Opened! Brand New Luxury Rental Building On Wellington! Live in the heart of King West! Brand new luxury rental building offering a variety of 1 Bedroom and 1+ Den Floorplans. Move in anywhere ...,"$2,591.00",Toronto,Brookers Lane,< 6 hours ago
13,2 bedroom basement with separate entrance for rent from March 1s,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-with-separate-entrance-for-rent-from-march-1s/1648179382,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/92/92cd0526-43f9-42f9-993d-6bc073c9f405?rule=kijijica-200-jpg,Renovated Basement for rent: From March 1st -Separate entrance. -2 bedroom . -One full washroom . -Eat in kitchen. -Furnished. -Free WiFi. - Utilities not included -Appliances and Weekend shared ...,Please Contact,Scarborough,Bathurst Street,< 6 hours ago
14,Entire 1+1 Apartment for Rent! Available Feb 1st!!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/entire-1-1-apartment-for-rent-available-feb-1st/1648173326,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7e/7e9bc7f1-7886-40a4-ae89-6e475fb74f78?rule=kijijica-200-jpg,"AVAILABLE FEB 1ST!! 2-minute walk from Toronto Metropolitan University/Ryerson University and Dundas Square, Eaton Centre. Entire apartment for rent, comes with basic furniture. Price includes water. ...","$2,600.00",Toronto,Front Street West,< 7 hours ago
15,Brand new one-bedroom suite located in a luxurious townhome,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-one-bedroom-suite-located-in-a-luxurious-townhome/1648167286,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/59/5910d9a6-380c-4e1e-9943-641c9d30d3de?rule=kijijica-200-jpg,"This property located on Lawrence & Blackstone has a range of top-of-the-line features, including: • A spacious bedroom with a closet, an En-suite bathroom, complete with a glass standing shower. • A ...","$2,050.00",Toronto,Oakwood Avenue,< 7 hours ago
16,SUBLET (~8 months) -- big master bedroom (w/ ensuite) - $1600/mo,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/sublet-8-months-big-master-bedroom-w-ensuite-1600-mo/1648169105,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/be/be7ee492-160c-4a22-8fd1-31ed8306cd7c?rule=kijijica-200-jpg,"Subletting the master bedroom (with ensuite) in a beautiful two-bedroom unit. Females only please. Spacious and beautiful unit on the 3rd floor faces south and west, and also comes with a balcony. ...","$1,600.00",Toronto,Highview Crescent,< 7 hours ago
17,Apartment for sublet $2180 near downtown Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment-for-sublet-2180-near-downtown-toronto/1648171408,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/52/52eae505-5675-4444-a226-95200c33f887?rule=kijijica-200-jpg,Subletting my apartment until August 2023 (possibility for an extension). It’s a beautiful one bedroom apartment with a balcony and in suite laundry. There is a gym on the PH floor with additional ...,"$2,180.00",Toronto,Spadina Avenue,< 7 hours ago
18,3 bedroom condo for rent Don mills Eglinton area,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-condo-for-rent-don-mills-eglinton-area/1648177598,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/73/7306914e-0ae1-4eef-b04f-8f4ee748bf80?rule=kijijica-200-jpg,Availability February 1st,Please Contact,Toronto,Wellington Street West,< 8 hours ago
19,MAIN - 233 BORDEN ST.,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-233-borden-st/1641538055,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ac/ac51d1c7-b390-4ced-8bb2-4d36a7afa845?rule=kijijica-200-jpg,"MAIN - 233 BORDEN ST. Live In The Heart Of Annex, 4 Bedroom 2 Bathrooms Located On The Top Floor Of A Three-Story House. A Large Living Room, Full-Size Kitchen. Coin Laundry Onsite Available To All ...","$4,100.00",City of Toronto,Spadina Avenue,< 8 hours ago
20,Conveniently Located House (Main Floor) for Rent in highly Resid,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/conveniently-located-house-main-floor-for-rent-in-highly-resid/1645901483,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/87/87a13532-e46e-4c1d-b822-d4d458d84ed9?rule=kijijica-200-jpg,"Conveniently Located House (Main Floor) for Rent in highly Residential Neighbourhood in Scarborough (Markham / Lawrence)) Conveniently located, well maintained 3 bedrooms/ 1.5 washroom house for rent ...","$2,675.00",City of Toronto,Wellington Street West,< 8 hours ago
21,#4-320 Lonsdale Road,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4-320-lonsdale-road/1647422966,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/20/20ba9eb8-a917-4528-8eb1-d320bcf3edc3?rule=kijijica-200-jpg,#4-320 Lonsdale Road 320 Lonsdale is located just a few steps from the shops on Spadina Road. The building features fully updated suites while maintaining unmatched historical character. Forest Hill ...,"$2,950.00",City of Toronto,Spadina Avenue,< 8 hours ago
22,St. Andrews Towers East - 1 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/st-andrews-towers-east-1-bedroom-apartment-for-rent/1633739816,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/9f/9fd57447-77ba-4568-9e00-ec055b6d8b03?rule=kijijica-200-jpg,Building Information Bayview and Sheppard is has become one of the most coveted areas of North York. It's got Bayview Village mall and upscale shopping. Plus there are great community facilities ...,"$1,950.00",City of Toronto,Wellington Street West,< 8 hours ago
23,"High Park three bedroom, renovated, close to subway",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/high-park-three-bedroom-renovated-close-to-subway/1642371522,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/0f/0f3759ea-be3d-4898-96db-e4b00e1c0785?rule=kijijica-200-jpg,"High Park three bedroom, renovated, close to subway Close to subway (Runnymede), close to parks, schools, community centre, library large renovated kitchen with dishwasher and eating area; large ...","$2,995.00",City of Toronto,Venture Drive,< 8 hours ago
24,"Award Winning """"The Residences Of 488 University Avenue",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/award-winning-the-residences-of-488-university-avenue/1555822207,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a2/a24f843e-e250-4a72-a2bc-cdb01d59304b?rule=kijijica-200-jpg,"Award Winning """"The Residences Of 488 University Avenue Includes Valet Parking Fully Upgraded 1 Bed + Den 674 sq. ft. Balcony - 5 Star Lifestyle Amenities Luxurious Finishes High End Appliances, Wine ...","$2,990.00",City of Toronto,Thornmount Drive,< 8 hours ago
25,Private Water Views 1.5 Bdrm plus den,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-water-views-1-5-bdrm-plus-den/1647422807,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/0e/0e2a3503-19d9-4eda-9dda-502fa339fbd7?rule=kijijica-200-jpg,Private Water Views 1.5 Bdrm plus den Forever Lake Views South And East Facing Of Lake Ontario And Toronto Skyline. Views Of Lake From All Rooms. One Bedroom Plus Den (Can Be Second Bdrm). 2 Full ...,"$2,750.00",City of Toronto,Dundas Street East,< 8 hours ago
26,RENOVATED 2 BEDROOM APARTMENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-2-bedroom-apartment/1647422951,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/24/2492273d-1b5d-4308-97cb-c845417b465d?rule=kijijica-200-jpg,RENOVATED 2 BEDROOM APARTMENT -Well maintained low rise 12 plex apartment building. -Located at Keele St & Hwy 401 -Secured entry and camera surveillance. -On site coin laundry. -TTC at your ...,"$2,500.00",City of Toronto,Jarvis Street,< 8 hours ago
27,"1303 Gerrard St E B, Toronto Ontario M4L1Y8",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1303-gerrard-st-e-b-toronto-ontario-m4l1y8/1647422762,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/0f/0f042485-75d9-4ec3-82d9-d7f0833c9c8c?rule=kijijica-200-jpg,"1303 Gerrard St E B, Toronto Ontario M4L1Y8 Semi Detached, 2 Storey Unit-B Rooms-3 Bedrooms-2 Washroom-1","$2,145.00",City of Toronto,Lawrence Avenue West,< 8 hours ago
28,1BD Condo Loft with large private terrace,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1bd-condo-loft-with-large-private-terrace/1643994694,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/25/2527364d-c85b-43f0-bc8b-c2f4f415be06?rule=kijijica-200-jpg,1BD Condo Loft with large private terraceBright 2-storey loft-style condo located across the road from St. Lawrence Market in the exclusive 3 Market Street Condos. Great on-site amenities including ...,"$2,900.00",City of Toronto,Renfield Street,< 8 hours ago
29,St. Andrews Towers East - Jr. 1 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/st-andrews-towers-east-jr-1-bedroom-apartment-for-rent/1647421642,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/16/16dc97c3-85e6-4418-ab26-417135b0dd58?rule=kijijica-200-jpg,Building Information Bayview and Sheppard is has become one of the most coveted areas of North York. It's got Bayview Village mall and upscale shopping. Plus there are great community facilities ...,"$1,900.00",City of Toronto,Queens Quay West,< 8 hours ago
30,Gorgeous 2 Bedroom Little Italy,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gorgeous-2-bedroom-little-italy/1645901080,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/7c/7c720b48-f7d3-4843-9add-45d57974e3a6?rule=kijijica-200-jpg,"Gorgeous 2 Bedroom Little Italy Located on a quiet and friendly street, it’s a short walk that brings you to the bustling sidewalks of College St. in Little Italy where you can enjoy its famous ...","$3,100.00",City of Toronto,Stadium Road,< 8 hours ago
31,"1303 Gerrard St E A, Toronto Ontario M4L1Y8",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1303-gerrard-st-e-a-toronto-ontario-m4l1y8/1647422791,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/020045db-db2a-473f-9c65-0d3f90f0edeb?rule=kijijica-200-jpg,"1303 Gerrard St E A, Toronto Ontario M4L1Y8 Semi Detached 2-storey Unit-1 Rms-2 Bedrooms-1 Washrooms-1","$1,349.00",City of Toronto,River Street,< 8 hours ago
32,Beautiful 3 Bedroom Home in Upscale Neighborhood,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-3-bedroom-home-in-upscale-neighborhood/1638939683,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ac/ac0e1b62-fc0c-469d-8783-b20ec0709a3a?rule=kijijica-200-jpg,Beautiful 3 Bedroom Home in Upscale Neighborhood Rare Chance To Rent A Beautiful 3 Bedroom House Located In A Very Upscale Neighborhood. Rent An Entire 3 Bedroom House With Beautiful Front And ...,"$4,500.00",City of Toronto,Mark Street,< 8 hours ago
33,St. Andrews Towers East - 3 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/st-andrews-towers-east-3-bedroom-apartment-for-rent/1647421613,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c4/c43067fc-0ae5-41b9-9861-585478dc88d0?rule=kijijica-200-jpg,Building Information Bayview and Sheppard is has become one of the most coveted areas of North York. It's got Bayview Village mall and upscale shopping. Plus there are great community facilities ...,"$2,700.00",City of Toronto,Warden Avenue,< 8 hours ago
34,"1492 Dundas St 3, Toronto Ontario M4M1S9",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1492-dundas-st-3-toronto-ontario-m4m1s9/1647422823,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/2c/2cd71c4e-01ff-4f33-8bd1-11c8e7a07cf8?rule=kijijica-200-jpg,"1492 Dundas St 3, Toronto Ontario M4M1S9 Client Remks:Newly Renovated 2 Bdrm, 1 Bathrm Unit On 3rd Floor In The Heart Of Vibrant Leslieville At Leslie & Dundas -Beautiful Boutique Bldg, Unit Is Very ...","$3,049.00",City of Toronto,Manhattan Drive,< 8 hours ago
