Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,North York 2 Bedroom Apartment for Rent!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-2-bedroom-apartment-for-rent/1644814357,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/13/13d5cfb5-ba8a-411b-983f-8a7dd6c39c2e?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,200.00",City of Toronto,Bathurst Street,19/01/2023
2,Glen Park Apartments - One Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/glen-park-apartments-one-bedroom-apartment-for-rent/1568953096,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b7/b7126cc8-85de-4dbf-8596-6718c5773689?rule=kijijica-200-jpg,"GLEN PARK Conveniently located, steps away from hundreds of stores on Yonge Street, and easy access to transit. Glen Park is a well-maintained property with its beautiful exterior landscaping, and ...","$2,117.00",City of Toronto,Neptune Drive,22/01/2023
3,1 Bedroom Large Apt. for Rent Steps to Victoria Park Station!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-large-apt-for-rent-steps-to-victoria-park-station/1636404248,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/aff94955-434f-4562-a1ae-31d442997456?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,549.00",City of Toronto,Clark Avenue,08/01/2023
4,"Lease: Condo Downtown stunning 3 BRD, 2400 Sf, 1000 Sf Terr",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/lease:-condo-downtown-stunning-3-brd-2400-sf-1000-sf-terr/1641404801,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/7d/7da05775-768d-4cf3-b904-899e4e5875ee?rule=kijijica-200-jpg,Welcoming You To The Prestigious Elegant And Classic Soho Residencies And Hotel .One-Of -A-Kind Sun Filled Spacious 7th Floor Two Level Corner South View Condo With A W/ Huge Wrap Around Terrace W/ ...,Please Contact,Toronto,Dudley Avenue,< 12 hours ago
5,2 Bdm. for Rent in Midtown Toronto!  Yonge and St. Claire Ave. W,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdm-for-rent-in-midtown-toronto-yonge-and-st-claire-ave-w/1639867929,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/34/3444993d-2153-413b-9556-38f4f2e8ea1a?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,400.00",City of Toronto,Denton Avenue,06/01/2023
6,1 Bedroom - March 1st - Furnished - Islington Subway,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-march-1st-furnished-islington-subway/1647932328,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f7/f71392b0-c037-45f3-af90-e10c49906f06?rule=kijijica-200-jpg,"Looking to sublet my fully furnished, 1 bedroom apartment to someone who will treat it the way a loving home needs to be treated. It's on the 26th floor with expansive views at a super convenient ...","$2,000.00",City of Toronto,MacEy Avenue,22/01/2023
7,"$1,800 - Newly Renovated Furnished Stylish Basement Apartment",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-800-newly-renovated-furnished-stylish-basement-apartment/1645765112,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/eb/eb41c9cc-6a2b-4549-a6ae-a039bfad80db?rule=kijijica-200-jpg,"Backyard heaven, cozy and unique stylish furnished basement apartment in Keelsdale. Good for single professionals and couples. Move in ready! Prime location to TTC access and highways. All new ...","$1,800.00",City of Toronto,Blue Jays Way,22/01/2023
8,1 Bedroom Apartment for Rent (Utilities Included),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-utilities-included/1640616077,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/44/449de239-ce22-471e-af6e-24f5a4b12d53?rule=kijijica-200-jpg,"Large 1 Bedroom Apartment (utilities included) Beautiful Hardwood floors with eat in kitchen and full backyard for gardening, etc. A must see!!","$2,000.00",City of Toronto,Wellington Street West,22/01/2023
9,Great Location! 2 Bedrooms 1 Washroom! Private Entrance!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/great-location-2-bedrooms-1-washroom-private-entrance/1647971070,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/42/42cdfbc6-8ef5-4ecf-9f05-c376b7d3fb77?rule=kijijica-200-jpg,"Very bright, separate entrance 2 bedrooms, 1 washroom available for rent. This bright basement unit has separate entrance and lots of above ground windows for natural light. Very large 1200 Sqft unit ...","$1,990.00",City of Toronto,Bloor Street West,22/01/2023
10,Beautiful 2 Bedroom +2 Bathroom Condo/Renovated/Feb.1st/Downtown,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-2-bedroom-2-bathroom-condo-renovated-feb-1st-downtown/1647970031,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/cf/cf93be49-6034-4601-9db1-3091a581aac7?rule=kijijica-200-jpg,"TORONTO PRIME QUEEN WEST LOCATION !! ""Trendiest Neighbourhood"" Luxurious Modern Newly Renovated 2 Bedroom + 2 Full Bathrooms With Soaker Tubs Condo. - Spacious 600+ Sqft. Living Space / Split Bedroom ...","$2,795.00",City of Toronto,Green Lanes,22/01/2023
11,Renovated 3 Bedroom House/Warden & Eglinton,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-3-bedroom-house-warden-eglinton/1647968901,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/db/db39b3ef-d16c-40f7-a67a-dad0d1ac1d5a?rule=kijijica-200-jpg,Renovated 3 Bedrooms bungalow in Desirable Wexford Community! Newly renovated throughout with quality finishes. Main floor bungalow with walk/out to back yard and huge driveway. Custom made kitchen ...,"$2,950.00",City of Toronto,Yore Road,22/01/2023
