Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Large Renovated 1 Bedroom with Balcony,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-renovated-1-bedroom-with-balcony/1624777015,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/15/15e07281-c0e8-48b7-90d0-b3da5f7391bf?rule=kijijica-200-jpg,"Viewings Please call 647-694-2142 Walk in hours: Monday-Friday, 9am-5pm Weekends 12pm-5pm Location 22 Close Avenue King St. & Jameson Ave. Suite Features: 680 sq.ft. Walking distance to the lake ...","$2,100.00",City of Toronto,Jameson Avenue,20/01/2023
2,1BR & 2BR New Condo units available at Yonge & Eglinton !!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-new-condo-units-available-at-yonge-eglinton/1639923777,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8a/8ac406d4-787b-4ae7-af24-431879865159?rule=kijijica-200-jpg,"Looking for a couple/working professionals to lease New Condo units at Yonge & Eglinton Ave W available immediately !! Steps to Eglinton TTC Subway Station, Direct Underground Access to ...","$2,400.00",City of Toronto,Springhurst Avenue,14/01/2023
3,1 Bedroom Coach House for Rent in Midtown Toronto!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-coach-house-for-rent-in-midtown-toronto/1641537122,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/15/158acbfe-bed9-4154-8ef9-b3d9704a92ca?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,625.00",City of Toronto,Yonge Street,20/01/2023
4,1 Bedroom Large Apt. for Rent Steps to Victoria Park Station!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-large-apt-for-rent-steps-to-victoria-park-station/1636404248,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/aff94955-434f-4562-a1ae-31d442997456?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,549.00",City of Toronto,Roehampton Avenue,08/01/2023
5,1 Bedroom Basement Apartment in the Beaches,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-in-the-beaches/1645885869,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/97/979860b5-5f6d-451e-b918-30f853e3f112?rule=kijijica-200-jpg,"Bright, airy and roomy 1 bedroom basement apartment with separate side entrance in the Beaches. Apartment has a large renovated washroom, new kitchen, large living area and includes shared laundry. ...","$1,700.00",City of Toronto,Denton Avenue,02/01/2023
6,LUXURY 3 BED 2 BATH CONDO - 120 VARNA RD,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-3-bed-2-bath-condo-120-varna-rd/1646917336,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/8b/8b88cf9b-bcfc-466d-8f46-f9ebbfd9287e?rule=kijijica-200-jpg,"120 Varna Dr New Building (Yorkdale Condos 2) 10th Floor 3 Bed 2 Bath 1 Parking (next to elevator) 1 Locker Incl. In-Suite Laundry Tenant to Pay Utilities Steps to Yorkdale Mall, York University, ...","$3,100.00",City of Toronto,MacEy Avenue,12/01/2023
7,Toronto 5 bedrooms4 bathrooms 4 parking brand new house for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-5-bedrooms4-bathrooms-4-parking-brand-new-house-for-rent/1646915706,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a2/a2241f6e-3a34-4004-8fdd-0666afefe28c?rule=kijijica-200-jpg,"Entire Property For Lease! Beautiful, Renovated Large Family Home In Great Area, Hardwood Floor T/O, Kitchen W/Stone Countertop & Backsplash, Stainless Steel Appls, Updated Washrooms. Large Rear ...","$5,500.00",City of Toronto,Fallingbrook Road,12/01/2023
8,1 bed + den condo,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-condo/1646913132,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4a/4ae8a154-7a47-4cd5-80c2-3d1ca7129828?rule=kijijica-200-jpg,1 bedroom + living area 600 sq. ft apartment right on the corner of Fort York and Spadina Ave. Unfurnished. Available Feb 1st but flexible. Great size bathroom with new fixtures. Brand new stainless ...,"$2,300.00",City of Toronto,Fallingbrook Crescent,12/01/2023
9,Spacious & Sun filled 2 bedroom 2 bathroom condo unit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-sun-filled-2-bedroom-2-bathroom-condo-unit/1646909932,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d3/d34ee895-b456-498d-a575-c25a8b80af2c?rule=kijijica-200-jpg,"Never lived-in sunfilled & spacious 850 sqft 2 bedroom & 2 bathroom condo at Via Bloor by Tridel with breathtaking unobstructed views of the downtown core. Steps away from TTC, shopping, parks and ...",Please Contact,City of Toronto,Lake Shore Boulevard West,12/01/2023
10,ALL INCLUSIVE- GORGEOUS 2 Bedroom 1 bathroom w/9 FOOT CEILINGS!!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/all-inclusive-gorgeous-2-bedroom-1-bathroom-w-9-foot-ceilings/1646907508,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/40/40568762-5a2d-474b-9287-1200bfc984d3?rule=kijijica-200-jpg,"2 Bedroom 1 Bathroom on Subway Line- February 1, 2023 ALL-INCLUSIVE! - 5 minute walk to Woodbine Station - 15 minute walk to beautiful beach - Apartment is the top floor of a large house, it is ...","$2,650.00",City of Toronto,Bay Street,12/01/2023
11,"2bed, 2bath, 2-story upper floors of HOUSE w/ PRIVATE BACKYARD!",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2bed-2bath-2-story-upper-floors-of-house-w-private-backyard/1646906920,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/db/db051756-4f6d-40e4-b40f-86ba67a75135?rule=kijijica-200-jpg,"**Main/Upper floors** basement not included Available March 1st or sooner 2 Bedroom 2 Bath In-suite laundry $3495/month **INTERNET INCLUDED** (Hydro, Gas, Water/waste extra) This home is currently ...","$3,495.00",City of Toronto,Steeles Avenue East,12/01/2023
12,One Bedroom Apartment- Steps to Subway,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-steps-to-subway/1646810476,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ce/ce553f91-b218-465b-a73c-c48bf7caf6ca?rule=kijijica-200-jpg,"Welcome to Broadview Station! This apartment is steps to the subway and to all of the restaurants and shops on Danforth Ave. This lower level apartment has one bedroom, one bathroom, large living ...","$1,450.00",City of Toronto,Valloncliffe Road,12/01/2023
13,East York Family Bungalow,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/east-york-family-bungalow/1646905770,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/09/093614ef-60ab-4268-a7e5-97b881fd3cea?rule=kijijica-200-jpg,"Renovated 3 bedroom + 2 bathroom home ready for you to occupy. New carpet, new paint, and new bathrooms. Lots of extra storage throughout. Awesome family neighbourhood with all amenities within a 9 ...","$4,200.00",City of Toronto,Spadina Avenue,12/01/2023
14,Condo for Rent In Toronto With Lake View!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent-in-toronto-with-lake-view/1646904521,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/16/16e23adb-5404-40ad-b3fc-05ba50a5cf55?rule=kijijica-200-jpg,"Live In Luxury At Mirabella Condos Along Lake Shore. The Incredible Views Won't Be The Only Thing That Puts You In Awe, You Will Also Enjoy The Exclusive Amenities Perfect For Your Lifestyle. Enjoy ...","$2,850.00",City of Toronto,Bremner Boulevard,12/01/2023
15,Davisville  Village - Junior One Bedroom Suite Available,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-junior-one-bedroom-suite-available/1639616604,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a9/a9097383-8289-4fdd-a769-e94a4ba545ab?rule=kijijica-200-jpg,"Welcome to 77 Davisville Avenue. Situated in the trendy, sought-after neighbourhood of Davisville Village, just steps from the subway. This property is perfect for working professionals and families ...","$2,200.00",Toronto,Parliament Street,12/01/2023
16,Greenrock Davisville  Village - 1 Bedroom Suite Available,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/greenrock-davisville-village-1-bedroom-suite-available/1639616635,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f8/f89ec4f2-28de-4050-9182-eafc8321f160?rule=kijijica-200-jpg,"Welcome to 77 Davisville Avenue. Situated in the trendy, sought-after neighbourhood of Davisville Village, just steps from the subway. This property is perfect for working professionals and families ...","$2,050.00",City of Toronto,Howard Street,12/01/2023
