Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Newly Designed 1 Bdrm. for Rent  - Woodbine/Gerrard East,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-designed-1-bdrm-for-rent-woodbine-gerrard-east/1643370566,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/5d/5df285f7-8842-4182-b544-1d0881f19cf6?rule=kijijica-200-jpg,"Touch free leasing:Virtual viewings available via video conferencing. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents ...","$2,365.00",City of Toronto,Spadina Avenue,05/01/2023
2,Luxury 2 Bed 2 Bath With Parking / Frond And Spadina (Cityplace),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-2-bed-2-bath-with-parking-frond-and-spadina-cityplace/1647474758,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/2f/2f26606b-d0cf-4634-b101-333acf6dd7c2?rule=kijijica-200-jpg,"Luxury 2 Bedroom Condo in Downtown Toronto (Cityplace) Front & Spadina Steps To Ttc, Rogers Centre, Cn Tower, Harbourfront And Sobey's. Great amenities. 1 Parking spot is included! 2 Bedroom 2 ...","$3,200.00",City of Toronto,Front Street West,19/01/2023
3,3 BEDROOM FOR RENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-for-rent/1648044839,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/bf/bfbee63a-cac1-4551-bd0b-cd90a687c4f1?rule=kijijica-200-jpg,3 BEDROOM RECENTLY RENOVATED CLEAN QUITE BUILDING. We would need employment letter credit check and governmental documents. Viewing has to be arrange with appointment minimum of 48 hours.,"$2,750.00",City of Toronto,Bloor Street West,22/01/2023
4,2 Bedroom Apt. for Rent in Kingsway Neighbourhood of Etobicoke!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apt-for-rent-in-kingsway-neighbourhood-of-etobicoke/1641537081,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/32/327691b9-8a6c-4c3c-9e74-92a30161505b?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$1,900.00",City of Toronto,St Clarens Avenue,20/01/2023
5,one bedroom Dundas and DVP - ID 2545,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-dundas-and-dvp-id-2545/1647421933,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c1/c1b0ba3f-4535-4b76-8418-74492dfcdd06?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Dundas and Gerrard in the Downtown East neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 15 - approximately 514 ...","$1,850.00",City of Toronto,The Kingsway,17/01/2023
6,Waldorf Astoria Luxury Condo for Rent - Bloor and Church,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/waldorf-astoria-luxury-condo-for-rent-bloor-and-church/1640241491,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b1/b179f476-dcaa-4c76-905c-a5652eb2fa29?rule=kijijica-200-jpg,"A Beautiful, Elegant and Quiet ""Nest"" In The Heart of Toronto's Yonge and Bloor Neighbourhood. Close to The Village. The Waldorf Astoria Lofts Is City Urban Living With Everything At Your Reach: ...","$2,400.00",City of Toronto,Bexhill Court,22/01/2023
7,"$2,490/2 bedroom, 1 Bathroom and living room apartment",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-490-2-bedroom-1-bathroom-and-living-room-apartment/1648033092,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/00/0085b7e1-1831-4c70-9b66-22f38e6fdf1b?rule=kijijica-200-jpg,"Large, bright, high ceilings 2 spacious bedroom apartment which is 2nd floor unit of a townhouse, situated in an amazing location, fabulous neighbourhood, and close to famous Trinity Bellwoods. ...","$2,490.00",City of Toronto,River Street,22/01/2023
8,1 BED+ 1 BATH PLUS PARKING FOR RENT- LAKESHORE & PARKLAWN,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-plus-parking-for-rent-lakeshore-parklawn/1648032099,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5e/5ef17cee-4d98-4cf7-b265-21242e5de5b6?rule=kijijica-200-jpg,"Welcome to key west condos (36 park lawn rd), located in the heart of mimico. Modern Elegant 1 Bedroom Unit With Luxury Finishes. Modern European Kitchen With Steel Appliances and custom island, Open ...","$2,550.00",City of Toronto,Gerrard Street East,22/01/2023
9,Large Spacious 3 bedrooms Bungalow Main level,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-spacious-3-bedrooms-bungalow-main-level/1648032251,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4c/4c3003ed-38ec-41bc-9523-93c48fd761db?rule=kijijica-200-jpg,Large Spacious 3 bedrooms Bungalow( Main level ) . Located in the Markham Road & Lawrence Ave. center of a quiet residential area surrounded by bus stops and other amenities. With hardwood flooring ...,"$2,850.00",Toronto,Church Street,22/01/2023
10,Yonge and Eglinton Condo for rent - 1 bedroom,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-and-eglinton-condo-for-rent-1-bedroom/1648032014,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a2/a20aefa2-a32c-41d6-b94d-feb218558159?rule=kijijica-200-jpg,1 bedroom condo for rent.,"$2,200.00",City of Toronto,Charles Street East,22/01/2023
