Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Downtown 1 Bedroom Apartment for Rent - 15 Dundonald Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-apartment-for-rent-15-dundonald-street/1639868866,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/21/21a048db-b5dd-40bb-b480-34af0b5c6d5b?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: (647) 492-7020Virtual Open House: View our units by ...","$2,370.00",City of Toronto,Jarvis Street,< 24 hours ago
2,NEW BACHELOR; FURNISHED; !!LUXURY!! YONGE/BLOOR. $2300,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-bachelor-furnished-luxury-yonge-bloor-2300/1646560112,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4e/4ee040c6-1373-477b-8e3e-9af80dc5442b?rule=kijijica-200-jpg,Sophisticated Bachelor Condominium In The Heart Of Central Toronto! Walk score 97!! Spacious 463 Sqft + 75 Sqft balcony! One Of The Biggest Studio Units With Unobstructed Breathtaking North View. ...,"$2,300.00",City of Toronto,Ted Rogers Way,21/01/2023
3,"1,438 Sq Ft Light-Filled SW Corner Unit – Broadview Lofts",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-438-sq-ft-light-filled-sw-corner-unit-broadview-lofts/1641368966,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ee/ee1dba44-5aec-4a81-a137-47bfe060c6de?rule=kijijica-200-jpg,"Live in a vastly proportioned, hard loft conversion in the award-winning Broadview Lofts. Light-filled SW corner unit with 1,438 square feet of flexible, open concept space, easily accommodating a ...","$4,200.00",Toronto,Eastern Avenue Diversion,22/01/2023
4,Renovated Modern Jr. 1 Bedroom,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-modern-jr-1-bedroom/1505828049,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fc/fcb356a3-a5ec-430e-99e3-59ac2ac181f2?rule=kijijica-200-jpg,Lakeview Towers Located at 22 Close Avenue (King & Dunn) Apartment Features: 510-659 SQ FT Renovated kitchen Freshly painted Parquet flooring Large balcony with incredible views Ample closet space ...,"$2,195.00",City of Toronto,Broadview Avenue,20/01/2023
5,*Newley Renovated* 1 Bedroom - 2350 Birchmount Road,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newley-renovated-1-bedroom-2350-birchmount-road/1644862219,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/99/99e80f2b-60e2-4840-bf77-859e2d0233a5?rule=kijijica-200-jpg,"The property is located close to Agincourt Mall, at the corner of Birchmount Road and Sheppard Avenue. One-Bedroom available April Monthly rent from $2,325 plus electricity Parking is $130 - $160 ...","$2,325.00",City of Toronto,Jameson Avenue,< 24 hours ago
6,Golden Equity Property art 2460-2500 Keele Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/golden-equity-property-art-2460-2500-keele-street/1505829419,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e1/e1495f82-1daf-40fb-9687-9c7a675ce116?rule=kijijica-200-jpg,"2460-2500 Keele Street, 2 bedrooms 2460-2500 Keele Street. New management. Located in a quiet family-oriented neighborhood, with easy access to public transportation Buses 41,34 and 941 (Keele & ...","$1,800.00",City of Toronto,Springhurst Avenue,27/12/2022
7,"Finch and Bathurst: 3 Goldfinch Court, 3BR",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/finch-and-bathurst:-3-goldfinch-court-3br/1505831078,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b3/b340824f-7959-4242-afc5-8fbc89c7ae42?rule=kijijica-200-jpg,Apartment for Rent in Toronto managed by Q Residential Key Property Details Newly renovated suites and under new management Onsite Laundry & Parking! Convenient Access to Hwy 401 & to Many Amenities! ...,"$2,400.00",City of Toronto,Sheppard Avenue East,27/12/2022
8,2 Bedroom Apartment Available at 25 Mabelle Ave in Etobicoke,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-available-at-25-mabelle-ave-in-etobicoke/1505829296,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/71/719b2720-48e9-4200-ad29-020fdee67e7d?rule=kijijica-200-jpg,"Welcome to Islington Village, a quiet neighbourhood just a short ride from downtown Toronto. Book a building tour today. You can look forward to: large freshly painted apartments complete with ...",Please Contact,City of Toronto,Amethyst Road,27/12/2022
9,3 Bedroom Apt - North York (Don Mills and York Mills Area),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apt-north-york-don-mills-and-york-mills-area/1505827437,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/91/91e74032-359e-4457-bc51-77a41bdf1c84?rule=kijijica-200-jpg,"3A Style -Apartment - Available February 1, 2023 This suite is large and bright, providing a perfect home for any family. With 3 bedrooms 2 bathrooms (one bathroom being an ensuite off the master ...","$2,550.00",City of Toronto,Keele Street,27/12/2022
10,One Bedroom Apartment - North York  -Winter Special,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-north-york-winter-special/1505827523,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/bc/bc513c96-bcaf-4845-bde1-3b266cebbd64?rule=kijijica-200-jpg,Suite 1A - Available April 1st This suite is perfort for a single person or a couple. There is one master bedroom with sufficient space for a king size bedroom and full bedroom furniture set. This ...,"$1,750.00",City of Toronto,Gracefield Avenue,27/12/2022
