Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Luxury short term rental 2+1 bed 2 Bath Mt Pleasant & St Clair,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-short-term-rental-2-1-bed-2-bath-mt-pleasant-st-clair/1644797009,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/23/232fdc73-7a20-4116-a838-33231055b1cd?rule=kijijica-200-jpg,"Short/long Term Luxury Possibly Semi Furnished Over 1500 Sqf Spacious Bright & Airy, Tall Ceilings, Hardwood And Ceramics,With Private Entrance, In Upscale Area North Of Rosedale, Current Den Was A ...","$3,990.00                                                                            $4,490.00",City of Toronto,Welland Avenue,19/01/2023
2,"Entire house in Scarborough for rent for  February 01, 2023",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/entire-house-in-scarborough-for-rent-for-february-01-2023/1634235938,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/82/82e6d08a-ffb2-473a-9f43-c9d719ae3cce?rule=kijijica-200-jpg,"House with 6 bedrooms , 2 kitchen ,4 washrooms and laundry room are available for Feb 01, 2023 for one year lease All 3 floors are included with full basement apartment close to 401 and morningside . ...","$4,850.00",City of Toronto,Rose Park Drive,< 18 hours ago
3,"1,438 Sq Ft Light-Filled SW Corner Unit – Broadview Lofts",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-438-sq-ft-light-filled-sw-corner-unit-broadview-lofts/1641368966,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ee/ee1dba44-5aec-4a81-a137-47bfe060c6de?rule=kijijica-200-jpg,"Live in a vastly proportioned, hard loft conversion in the award-winning Broadview Lofts. Light-filled SW corner unit with 1,438 square feet of flexible, open concept space, easily accommodating a ...","$4,200.00",Toronto,Military Trail,22/01/2023
4,North York 2 Bedroom Apartment for Rent!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-2-bedroom-apartment-for-rent/1644814357,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/13/13d5cfb5-ba8a-411b-983f-8a7dd6c39c2e?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,200.00",City of Toronto,Old Kingston Road,19/01/2023
5,1 Bedroom Apartment - | Call now,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-call-now/1647495576,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/26/2626133f-43ac-4c5b-99cd-d6a2289505ff?rule=kijijica-200-jpg,"Contact Hazelview Properties today!Need easy access to life's necessities while enjoying a relaxed living environment? From schools, shopping and sporting facilities to transit options like the Allen ...","$2,099.00",Toronto,Eastern Avenue Diversion,< 24 minutes ago
6,2 Bedroom Condo for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-for-rent/1647895959,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7d/7dcd651f-0e6d-4157-a315-4d456caa31a3?rule=kijijica-200-jpg,"Brand New Luxury E2 Condos Located At The Heart Of Yonge & Eglinton.$2900 monthly. Large Balcony With Amazing Breathtaking Panoramic South (Cn Tower) View. Practical Layout With 2 Split Bedrooms, 2 ...","$2,900.00",City of Toronto,Broadview Avenue,21/01/2023
7,KIPLING EGLINTON 2BR + Den BRAND NEW,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/kipling-eglinton-2br-den-brand-new/1646277426,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/cc/cc2e550f-d949-486f-bf3c-9a2c4a568659?rule=kijijica-200-jpg,"Be the first to live in this brand new apartment! Sunny south exposure with 2 balconies. Large den, ensuite laundry, stainless appliances, quartz counters, roller shades. Building features Fitness, ...","$2,773.00",City of Toronto,Bathurst Street,21/01/2023
8,Luxury 2 Bedroom 2.5 Bathroom Apartment for Rent in North York,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-2-bedroom-2-5-bathroom-apartment-for-rent-in-north-york/1647895114,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/dc/dcf6c810-1b80-4ccf-b86a-c0b54025bd8d?rule=kijijica-200-jpg,"Welcome to SCALA– North York’s newest luxury condominium nestled within the Bayview Village Community. Surrounded by acres of lush ravine and parkland, SCALA immerses itself within a greenspace like ...","$3,500.00",City of Toronto,Neptune Drive,21/01/2023
9,1 Bedroom + den Parking included 30 Grand Trunk Cres avail Feb 1,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den-parking-included-30-grand-trunk-cres-avail-feb-1/1647891616,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/9d/9d18959a-9bfe-4a99-b83d-b6000978a906?rule=kijijica-200-jpg,"$2450 per month, One bedroom plus den with P1 parking included. New Stainless steel fridge/freezer, microwave , and dishwasher and stove placed in Sept 2022. Newer washer/dryer (3 years old) Downtown ...","$2,450.00",Toronto,Dufferin Street,21/01/2023
10,"Waterfront Condo ""Mirabella"". 1 Bedroom + Den. Parking + Locker",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/waterfront-condo-mirabella-1-bedroom-den-parking-locker/1647891954,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8c/8cbfccb6-3039-498e-b30f-0767c2e154a8?rule=kijijica-200-jpg,* Newly Built Condo- Never lived in. * One Bedroom plus large Den * Den can be used as a 2nd Bedroom or an Office * Open Concept * High Ceilings and very Bright Unit * Large Windows with a view of ...,"$2,600.00",City of Toronto,Rowan Avenue,21/01/2023
