Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,1 Bedroom  - Upper Canada Court - 110/140/160 Erskine,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-upper-canada-court-110-140-160-erskine/1640738029,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d7/d71128c8-7c4b-4402-ac94-49a45e53ba17?rule=kijijica-200-jpg,"Newly Renovated (select units) Upper Canada Apartments offers you access to restaurants, shopping, theatres, schools, and much more! One-Bedroom available February, March and May Monthly rent from ...","$2,095.00",City of Toronto,University Avenue,< 24 hours ago
2,Brand New Prime Beach with 2 bedrooms and 2 full baths,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-prime-beach-with-2-bedrooms-and-2-full-baths/1641918072,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/64/64c7de13-a759-4746-8936-beafe4357961?rule=kijijica-200-jpg,"Enjoy the restorative fascination of the water a short walk away. This main floor space is offered unfurnished, has 2 bedrooms, 2 full baths, a balcony overlooking the backyard from the primary/rear ...","$3,000.00",City of Toronto,Pearl Street,25/11/2022
3,"Bachelor Apartment for Rent - 80 Wellesley Street, East",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-80-wellesley-street-east/1645200558,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f8/f82b724a-578a-4a9f-8e73-2a6721c05260?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now! (647) 558-2263Virtual Open House: View our units by ...","$1,965.00",City of Toronto,Queen Street East,< 24 hours ago
4,O’Connor/St.Clair (one bedroom),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/o-connor-st-clair-one-bedroom/1647792153,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/18/18e090f0-418c-4bfb-b78b-af21ba819d83?rule=kijijica-200-jpg,"One bedroom apartment in a lower rise apartment building, spacious, clean, bright, newly renovated, close to transportation and shopping. Asking for $1500.00/ month which includes heat water and ...","$1,500.00",City of Toronto,Bellefair Avenue,20/01/2023
5,2 Bedroom Apartment- North York Don Valley Parkway Brookbanks Dr,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-north-york-don-valley-parkway-brookbanks-dr/1505826169,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/dc/dcb5700c-936f-4711-bafb-17f82ed085f4?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,545.00",City of Toronto,Church Street,27/12/2022
6,RENT TO OWN A HOUSE OR BUY WITH OUR ZERO DOWN PROGRAM,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rent-to-own-a-house-or-buy-with-our-zero-down-program/1569609232,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/024de9dd-a4ae-4ec3-95d6-6fc2fd41b769?rule=kijijica-200-jpg,Program # 1 -- Buy House With Our Zero Down Program Program # 2 -- Buy House with Rent To Own Program * Special Program for Self-Employed* * Special Program For New Immigrants* *Any Credit or No ...,Please Contact,City of Toronto,Wellesley Street East,< 23 hours ago
7,GORGEOUS 1 BED CONDO JUNCTION TRIANGLE STEPS TO SUBWAY,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gorgeous-1-bed-condo-junction-triangle-steps-to-subway/1648111718,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/9e/9ed26194-f7cb-45ed-9f7c-5aced3d037e4?rule=kijijica-200-jpg,Spacious 1 Bedroom Unit At Fuse Condos.This Is Freshly Painted 547 Sq.Ft. Open Concept Suite Offers A Kitchen Complete With Granite Counters& Stainless Steel Appliances.Bedroom With Oversized ...,"$1,900.00",City of Toronto,O'Connor Drive,< 23 hours ago
8,Scarborough 1 Bedroom Apartment for Rent - 1320-1330 Danforth Ro,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-1-bedroom-apartment-for-rent-1320-1330-danforth-ro/1640739925,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/af1f29ba-6d66-4b29-916f-feeb471adfe0?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (437) 747-5214Virtual Open House: View our units by clicking ...","$1,924.00",Scarborough,Gardens Crescent,< 23 hours ago
9,Scarborough 2 Bedrooms Apartment for Rent - 1320-1330 Danforth R,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-bedrooms-apartment-for-rent-1320-1330-danforth-r/1640739924,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fc/fc741369-329b-41ae-82ca-140342d9b64b?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (437) 747-5214Virtual Open House: View our units by clicking ...","$2,147.00",Scarborough,Brookbanks Drive,< 23 hours ago
10,Condo For Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent/1648111382,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/18/18dc4323-577e-4a52-aa3f-77e012b3e2a2?rule=kijijica-200-jpg,"Condo available for rent MARCH 1st 2023 70 High Park avenue 2 bedroom, 2 bathroom (970 sq ft) 2 parking spots Steps to High park subway station, High Park, Shops & Cafes Of Bloor West & The Junction ...","$2,800.00",City of Toronto,Valley Woods Road,< 23 hours ago
