Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Penthouse 2-Bedroom + Den For Rent !  Woodbine/Gerrard!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/penthouse-2-bedroom-den-for-rent-woodbine-gerrard/1628292511,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/96/968faa4d-da39-4df9-88af-dfb8aac707b0?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$3,595.00",City of Toronto,Jameson Avenue,04/01/2023
2,Renovated Modern Jr. 1 Bedroom,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-modern-jr-1-bedroom/1505828049,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fc/fcb356a3-a5ec-430e-99e3-59ac2ac181f2?rule=kijijica-200-jpg,Lakeview Towers Located at 22 Close Avenue (King & Dunn) Apartment Features: 510-659 SQ FT Renovated kitchen Freshly painted Parquet flooring Large balcony with incredible views Ample closet space ...,"$2,195.00",City of Toronto,Springhurst Avenue,20/01/2023
3,1 Bedroom | Wellesley Village |,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-wellesley-village/1647499772,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/80/80503b53-b915-40a0-aae5-805d38eb1af0?rule=kijijica-200-jpg,These modern and stylish suites are recently renovated and perfect for a young professional. It boasts a fabulous open-concept layout that makes the space feel larger. You'll love the beautiful new ...,"$2,189.00",City of Toronto,Sandover Drive,17/01/2023
4,2 Bdm. for Rent in Midtown Toronto!  Yonge and St. Claire Ave. W,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdm-for-rent-in-midtown-toronto-yonge-and-st-claire-ave-w/1639867929,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/34/3444993d-2153-413b-9556-38f4f2e8ea1a?rule=kijijica-200-jpg,"Our Rental Office remains operational in light of COVID-19. The health and safety of you, employees, residents and the community is the utmost importance. Call today to learn how we can safely assist ...","$2,400.00",City of Toronto,Clayland Drive,06/01/2023
5,"2 Bdrm à louer au 1216 York Mills Road, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdrm-a-louer-au-1216-york-mills-road-toronto/1647476955,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/39/3979ea5d-cb41-41e9-a2a5-d6994723b054?rule=kijijica-200-jpg,"Visit our Website: https://www.capreit.ca/fr/appartements-a-louer/toronto-on/don-view-towers/ Rental Office is located at 2265 Victoria Park, Scarborough This friendly 8-storey, 65-suite building ...","$2,590.00",Toronto,Lake Shore Boulevard West,< 2 hours ago
6,One Bedroom condo furnished for rent in City Place Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-condo-furnished-for-rent-in-city-place-toronto/1646078019,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e5/e54d6d9b-ac8f-4e05-bed3-fc91f506eacb?rule=kijijica-200-jpg,"For rent 1 bed condo in Down Town Toronto, City Place furnished Fully Furnished One Bedroom Unit For Rent, located at 15 Fort York Blvd in Downtown Toronto. This Beautiful Home Boasts Large Windows, ...","$2,300.00",City of Toronto,Spadina Avenue,04/01/2023
7,20 Carlton and 25 Wood Street - Two Bedroom Apartment Apartment,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/20-carlton-and-25-wood-street-two-bedroom-apartment-apartment/1646068899,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a4/a4a71470-1925-4876-bb8e-06651922f6a5?rule=kijijica-200-jpg,"YOU CAN'T GET BETTER PRICES IN DOWNTOWN! The Maples offers residents an opportunity to reside in a clean and well-maintained building. Shopping, transportation, and restaurants are right at your ...","$2,650.00",City of Toronto,Yonge Street,04/01/2023
8,Furnished Bachelor Apartment for Rent Yonge and Sheppard Area,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-bachelor-apartment-for-rent-yonge-and-sheppard-area/1646068498,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ae/ae43918a-41ed-41f9-b08a-b9a570caea7a?rule=kijijica-200-jpg,"Description The Luxury Shane Baghai Fully Furnished Corner Studio Suite Condo Is Situated In A Prime North York Location! Walking Distance To The Subway, Restaurants, Shops, Cafes, Banks, ...","$2,200.00",City of Toronto,College Street,04/01/2023
9,Brand New House for Rent in  Springwater,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-house-for-rent-in-springwater/1646067565,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fa/fafaf6b6-7a6d-4995-b7fc-ed04902d87f9?rule=kijijica-200-jpg,Newly Built Executive Home In Stonemanor Woods With Massive 4200 Sq Ft Area. Loaded With Best Quality Upgrades. 10' High Ceiling On Main & 9' High On Second Floor. Gourmet Kitchen With White Quartz ...,"$4,500.00",City of Toronto,Avondale Avenue,04/01/2023
10,BRAND NEW 1 bed + den condo with parking at Kipling/Dundas!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1-bed-den-condo-with-parking-at-kipling-dundas/1646058834,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/98/9876c1af-99b0-47cd-9923-7c4e6d9bd11a?rule=kijijica-200-jpg,"Welcome home to this BRAND NEW, never lived-in 1 bed + den!! - Open concept layout with floor to ceiling windows! - Large bedroom with double closet! - Den is a perfect work from home space! - Sleek ...","$2,450.00",City of Toronto,Harrison Garden Boulevard,04/01/2023
