Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Luxury 2 Bed 2 Bath With Parking / Frond And Spadina (Cityplace),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-2-bed-2-bath-with-parking-frond-and-spadina-cityplace/1647474758,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/2f/2f26606b-d0cf-4634-b101-333acf6dd7c2?rule=kijijica-200-jpg,"Luxury 2 Bedroom Condo in Downtown Toronto (Cityplace) Front & Spadina Steps To Ttc, Rogers Centre, Cn Tower, Harbourfront And Sobey's. Great amenities. 1 Parking spot is included! 2 Bedroom 2 ...","$3,200.00",City of Toronto,Spadina Avenue,19/01/2023
2,*Newley Renovated* 1 Bedroom - 2350 Birchmount Road,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newley-renovated-1-bedroom-2350-birchmount-road/1644862219,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/99/99e80f2b-60e2-4840-bf77-859e2d0233a5?rule=kijijica-200-jpg,"The property is located close to Agincourt Mall, at the corner of Birchmount Road and Sheppard Avenue. One-Bedroom available April Monthly rent from $2,325 plus electricity Parking is $130 - $160 ...","$2,325.00",City of Toronto,Front Street West,< 24 hours ago
3,BACHELOR BASEMENT APARTMENT FOR RENT,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-basement-apartment-for-rent/1645791652,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4c/4ce2c743-c8cf-468b-8f68-70c8dd392a80?rule=kijijica-200-jpg,Spacious Bachelor Apartment for Rent Located at Jane and Lawrence Only Renting to 1 person -Bell Fibe TV -Bell High Speed Internet -Washer and Dryer -Seperate Entrance -5 minute walk to TTC stop -5 ...,"$1,500.00",Toronto,Sheppard Avenue East,< 2 hours ago
4,"Renovated bachelor, Queen and Niagara - ID 1474",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-queen-and-niagara-id-1474/1645234719,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/27/27794407-dda2-413d-ae1b-1ebeb840b4e4?rule=kijijica-200-jpg,"Renovated Akelius studio apartment for rent. Queen & Niagara in the Downtown West neighborhood, Toronto. renovated studio - 1 bathroom - located on floor 5 - approximately 236 square feet - available ...","$1,550.00",Toronto,Amethyst Road,27/12/2022
5,Downtown Bachelor Apartment for Rent - 15 Dundonald Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-bachelor-apartment-for-rent-15-dundonald-street/1646838019,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/73/73c6c1e5-99eb-4e48-a84b-cc6a91322a2a?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: (647) 492-7020Virtual Open House: View our units by ...","$1,963.00",City of Toronto,Jane Street,< 24 hours ago
6,2 bedroom condo for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-for-rent/1645698272,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/85/8528936c-9d0d-4092-be15-34a796977ddf?rule=kijijica-200-jpg,"Toronto Queen West Condo with stunning city skyline view. $2875/mon + utilities. 2 bedroom 2 full bathroom on 9 floor facing west with huge balcony. Has everything including fridge, stove/oven, ...","$2,875.00",City of Toronto,Patika Avenue,15/01/2023
7,Exceptional Townhome 200 sq/ft - 3B and 3Bath + Terrace $4250,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/exceptional-townhome-200-sq-ft-3b-and-3bath-terrace-4250/1647251328,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3f/3ff5fb76-8201-49e1-9182-98ebd5c5cb7c?rule=kijijica-200-jpg,100 River St - Townhomes New Community Best Price Guaranteed ! Will not Last! 3 Bedroom and 2 Full Bath and 1/2 Bath Parking avail for small fee/ EV Charging/ View/Text/Call and Video Brand New & ...,"$4,250.00",City of Toronto,Niagara Street,15/01/2023
8,ROOM FOR RENT NORTH YORK,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/room-for-rent-north-york/1647250687,,"Spacious basement with a room, with access to washroom, kitchen, dining area, living room and laundry room. It is very clean in a good neighbourhood. It is near the bus stop and near the grocery ...",Please Contact,City of Toronto,Richmond Street West,15/01/2023
9,"Large  renovated 1 bedroom + Den at Yonge & St. Clair, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-renovated-1-bedroom-den-at-yonge-st-clair-toronto/1647249734,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/24/240dd82c-37af-40f1-8b66-bbcd0c4fc286?rule=kijijica-200-jpg,"Toitally renovated 2nd floor walk up apt with all new appliances, incl fridge, stove, d/w, washer, dryer, and portable AC. Building is less than 1 bl south of St. Clair on Yonge across from Subway ...","$2,250.00",Toronto,Yonge Street,15/01/2023
10,"Bright 2 bed 2 bth corner surrounded by High Park, river, lake!",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-2-bed-2-bth-corner-surrounded-by-high-park-river-lake/1647249306,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b2/b20ae53e-303a-4d7a-bfa9-0bc29a1d5d0c?rule=kijijica-200-jpg,"TLDR - Spacious, Bright 2 Bedroom 2 Bath with Ensuite and high ceilings - Ensuite Laundry - Parking Spot - On P1 close to elevator - Large kitchen Island - Close to Lake Ontario, High Park, Humber ...","$3,100.00",City of Toronto,Dundonald Street,15/01/2023
11,Downtown 2year old 1+1 condo for rent (church st& Shuter st),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-2year-old-1-1-condo-for-rent-church-st-shuter-st/1647248553,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a7/a7f43796-aa51-4a6e-a567-3b87ba64f948?rule=kijijica-200-jpg,"Located in downtown church st corridor, Fleur condo was completed by Mankes in 2020. Address: 60 shuter st. This south facing 2year old 1+1 condo features 587 sqft, a spacious master bedroom and a ...","$2,550.00",City of Toronto,Dovercourt Road,15/01/2023
12,Yorkville Condo,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yorkville-condo/1647245488,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4a/4a147679-ae30-4abe-9d1f-6ee956df0e7d?rule=kijijica-200-jpg,"Located in the heart of ups all Yorkville, 3 min walk to subway, shops, restaurants, grocery stores and parks",Please Contact,City of Toronto,Sudbury Street,15/01/2023
13,1.5 (Jr. 2) Bedroom Condo for Lease Furnished,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-5-jr-2-bedroom-condo-for-lease-furnished/1647245169,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/66/6626c5a6-c4e8-4819-9afb-c1e587e43243?rule=kijijica-200-jpg,"Fully Furnished 1.5 ( Junior 2) bedroom unit. Includes parking and storage is desired. Contact for pricing, depending on needs. Term can be 6 month or longer. Perfect for professionals with children, ...","$2,800.00",City of Toronto,River Street,15/01/2023
14,Brand new 1 bed+den unit for rent in Etobicoke,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1-bed-den-unit-for-rent-in-etobicoke/1647235041,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c9/c9582061-1fe6-49d3-b649-ac6ba03b6d13?rule=kijijica-200-jpg,Brand new Never Lived in 1bedroom+den unit with Underground Parking and Locker in Beautiful KIP Condo. Excellent Location! Unobstructed West Views. Steps to Kipling Subway Station and GO Train Easy ...,"$2,500.00",City of Toronto,Nicholas Avenue,15/01/2023
15,Scarborough 3 Bedroom House for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-3-bedroom-house-for-rent/1647237563,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1e/1e7b2fd2-2dd0-43ee-8cd9-51a2a47a99d1?rule=kijijica-200-jpg,[Housing Information] 1] Address: 56 Wyper sq M1S0B3 2] Area: 2500 3] Check-in time: just as soon as possible 4] Rental duration: one year 5] Rent Requirement: Cheque 6] Deposit method: one deposit ...,"$3,000.00",City of Toronto,Wilson Avenue,15/01/2023
16,1+1 Bedroom Condo for Lease – Mccowan / 401,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-1-bedroom-condo-for-lease-mccowan-401/1647243779,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d6/d61c29c3-7198-42c0-9be5-b8f349e3859a?rule=kijijica-200-jpg,"Den has large closet. Lots of natural light. Ensuite laundry. 1 parking spot. Available March 1. $2,400/month (incl utilities). If you have any questions or would like to book an appointment please ...","$2,400.00",City of Toronto,William Cragg Drive,15/01/2023
