Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,one bedroom Dundas and DVP - ID 2545,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-dundas-and-dvp-id-2545/1647421933,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c1/c1b0ba3f-4535-4b76-8418-74492dfcdd06?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Dundas and Gerrard in the Downtown East neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 15 - approximately 514 ...","$1,850.00",City of Toronto,River Street,17/01/2023
2,2 Bedroom Apartment- North York Don Valley Parkway Brookbanks Dr,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-north-york-don-valley-parkway-brookbanks-dr/1505826169,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/dc/dcb5700c-936f-4711-bafb-17f82ed085f4?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,545.00",City of Toronto,Gerrard Street East,27/12/2022
3,2 Bedroom - 80 Forest Manor Road - Close to Seneca!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-80-forest-manor-road-close-to-seneca/1647092667,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/65/65e22961-7fca-4a9d-9542-2b2ea870af20?rule=kijijica-200-jpg,"Excellent access to the DVP and 401, combined with the convenience of being directly across the street from the Fairview Mall. Two-Bedroom available April Monthly rent from $2,660 plus electricity ...","$2,660.00",City of Toronto,Brookbanks Drive,< 24 hours ago
4,"Renovated Bachelor, Queen and Niagara - ID 1913",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-queen-and-niagara-id-1913/1647367782,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f4/f4cdaa5e-609b-4cab-9397-78b912e4575d?rule=kijijica-200-jpg,"Akelius studio apartment for rent. Queen & Niagara in the Downtown West neighborhood, Toronto. studio - 1 bathroom - located on floor 2 - approximately 236 square feet - available now for $1650 - ...","$1,650.00",Toronto,Valley Woods Road,16/01/2023
5,"renovated one bedroom, Broadview and Cosburn - ID 2550",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-broadview-and-cosburn-id-2550/1647637338,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/77/772e3aa2-bcb9-4b5a-966b-b2d1f05c0fdd?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Broadview and Cosburn in the East York neighborhood, Toronto. renovated one bedroom ground floor - 1 bathroom - approximately 555 square feet - ...","$1,900.00",City of Toronto,Blackwell Avenue,19/01/2023
6,Basement for rent in Scarborough,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-for-rent-in-scarborough/1647086640,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/31/31010255-b02e-4495-b03d-ff6d692fb638?rule=kijijica-200-jpg,"Newly renovated 2 bedroom 1 washroom basement is for rent. Brand New Fridge, Stove, Dishwasher, Washer And Dryer. All Appliances Are Brand New. lots of pot lights. Tenant To Pay 35% Of Utilities And ...","$2,250.00",City of Toronto,Osterhout Place,13/01/2023
7,Stunning 3 Bedroom Home for Rent!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/stunning-3-bedroom-home-for-rent/1647085932,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/07/07af80d0-45fa-4bb6-9071-9914f7cf5d23?rule=kijijica-200-jpg,"3 Bedroom + den home in Leslieville. Spacious kitchen, breakfast area, skylight windows, accessible attic/den, comfortable porch, wooden backyard deck. All utilities are included. Steps to TTC, ...",Please Contact,City of Toronto,Yore Road,13/01/2023
8,Ossington/Bloor  main floor and full  basement for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/ossington-bloor-main-floor-and-full-basement-for-rent/1647084301,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/93/93adf6c7-a6ae-403a-b656-46c29bf6778f?rule=kijijica-200-jpg,"2 bedrooms on the ground floor and 1 kitchen and 1 washroom and full basement for rent , monthly rent is $: 2800. Plus gas bill . Proof income needed ,( need to see payroll, bank satement and photo ...","$2,000.00",City of Toronto,Trethewey Drive,13/01/2023
9,Condo for rent available,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent-available/1647077149,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/57/578e7674-9d72-4f30-a2d9-124fddfea87b?rule=kijijica-200-jpg,"Hello ! Condo with one bathroom and 2 single beds is available for rent. CN tower view, 65 Bremner blv for 2200$ a month everything included Please call me or msg me if you are interested 2896891812",Please Contact,City of Toronto,Ossington Avenue,13/01/2023
10,1 Bedroom for Rent in Basement Apartment in Scarborough,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-in-basement-apartment-in-scarborough/1647081395,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3f/3fee3bfc-b5db-4cf5-8676-0e26e4c621bb?rule=kijijica-200-jpg,"Hi, I am looking for one person to rent out one bedroom in the basement apartment starting February 1st, 2023. There are 2 rooms in the basement but one is already occupied by a male student. If ...",$700.00,City of Toronto,Essex Street,13/01/2023
