Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,"renovated one bedroom, Broadview and Cosburn - ID 910",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-broadview-and-cosburn-id-910/1647637497,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/4f/4fcb1c89-02af-41f3-86a0-3d151ac0d620?rule=kijijica-200-jpg,"Renovated Akelius one bedroom apartment for rent. Broadview and Cosburn in the East York neighborhood, Toronto. renovated one bedroom suite - 1 bathroom - located on floor 4 - approximately 590 ...","$2,050.00",City of Toronto,Broadview Avenue,19/01/2023
2,Downtown 2 Bedroom Apartment for Rent - 15 Dundonald Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-2-bedroom-apartment-for-rent-15-dundonald-street/1646838276,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/20/2046cc9b-1711-467a-b4df-03cac6032cd1?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: (647) 492-7020Virtual Open House: View our units by ...","$2,846.00",City of Toronto,Bater Avenue,< 24 hours ago
3,NEW BACHELOR; FURNISHED; !!LUXURY!! YONGE/BLOOR. $2300,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-bachelor-furnished-luxury-yonge-bloor-2300/1646560112,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4e/4ee040c6-1373-477b-8e3e-9af80dc5442b?rule=kijijica-200-jpg,Sophisticated Bachelor Condominium In The Heart Of Central Toronto! Walk score 97!! Spacious 463 Sqft + 75 Sqft balcony! One Of The Biggest Studio Units With Unobstructed Breathtaking North View. ...,"$2,300.00",City of Toronto,Jarvis Street,21/01/2023
4,Renovated 1 Bedroom @ Yonge and Davisville,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bedroom-yonge-and-davisville/1646179670,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/99/99a77bf8-d8a2-418d-bc92-3f6230ef3cf0?rule=kijijica-200-jpg,"Viewings: Please call or text our Leasing Manager at 647-507-4461 Location 155 Balliol Street, Toronto, ON M4S 1C4 Yonge St. & Davisville Ave. Property Features: Indoor swimming pool Fitness room ...","$2,395.00",City of Toronto,Ted Rogers Way,20/01/2023
5,Penthouse 2-Bedroom + Den For Rent !  Woodbine/Gerrard!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/penthouse-2-bedroom-den-for-rent-woodbine-gerrard/1628292511,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/96/968faa4d-da39-4df9-88af-dfb8aac707b0?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$3,595.00",City of Toronto,Dufferin Street,04/01/2023
6,NEWLY RENO /ALL INCL- 2 bedroom 1.5 bathroom- 9ft ceilings,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-reno-all-incl-2-bedroom-1-5-bathroom-9ft-ceilings/1645384023,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/98/98549d7f-4712-4cdc-a084-c942dbbbcb82?rule=kijijica-200-jpg,"Brand new renovations 2 bedrooms and 1.5 bathrooms, full laundry, and kitchen with brand new appliances. Comes furnished-optional Comes furnished-optional and all inclusive (internet, electricity, ...","$3,150.00",City of Toronto,Auburn Avenue,28/12/2022
7,2 Bedroom Condo for Rent- Yonge and Empress (North York Centre),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-for-rent-yonge-and-empress-north-york-centre/1645381933,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/8c/8c9288fc-96bf-48ef-af15-139d5dffab33?rule=kijijica-200-jpg,"Spacious 2 Bedroom Condo: South/East Corner Unit with Unobstructed East View, Underground access to TTC (North York Centre Station)/ Movie Theatre/ Loblaws/ Library/ Douglas Snow Swimming Pool, and ...","$2,950.00",City of Toronto,Doris Avenue,28/12/2022
8,Eglitnon /Allen Road-  one bedroom at subway,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/eglitnon-allen-road-one-bedroom-at-subway/1454755748,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/67/678a3cac-616b-412e-9065-aa5f3b9657eb?rule=kijijica-200-jpg,"We have a One bedroom apartment available in a quiet low rise apartment building across from Eglinton Avenue, West, subway, and next to a park. Rent is from $1600.00/month for the one bedroom apt. ...","$1,600.00",City of Toronto,Hillcrest Avenue,28/12/2022
9,Keele & Humberside High Park Junction 2BR Apartment Upper Unit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/keele-humberside-high-park-junction-2br-apartment-upper-unit/1639149890,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/8e/8e55d6d5-c54c-45a7-91af-8286dd72aa60?rule=kijijica-200-jpg,Keele & Humberside High Park Junction- Quiet Upper Unit * Reply with FIRST and LAST name and details* Perfect opportunity to live in a renovated 2 bedroom apartment with a unique 2 floor setup (2nd ...,"$2,495.00",City of Toronto,Eglinton Avenue West,28/12/2022
10,Large 1+Den Steps from Union Station for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-1-den-steps-from-union-station-for-rent/1645378326,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/94/949e285a-1706-4e57-8da2-7b845d879755?rule=kijijica-200-jpg,"Spacious Unit, Amazing Location! 1 Min To Path, 5 Mins To Waterfront/Cn Tower/Scotiabank Arena/Longo's, Steps To Union Station/Bay St. Huge Balcony (114Sqft) Is A Great Patio In Summer With A Bit Of ...","$2,600.00",City of Toronto,Strathearn Road,28/12/2022
