Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,3 Bedroom - 5 Brockley,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-5-brockley/1646734644,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8a/8a1f20fc-72fd-4e68-bdcf-a6d805a96d5b?rule=kijijica-200-jpg,"The building is situated one block east of Midland Avenue and one block north of Lawrence Avenue East on a quiet street! Three-Bedroom available Now Monthly rent from $2,985 plus electricity Parking ...","$2,985.00",City of Toronto,Brockley Drive,< 24 hours ago
2,"Bachelor Apartment for Rent - 80 Wellesley Street, East",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-80-wellesley-street-east/1645200558,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f8/f82b724a-578a-4a9f-8e73-2a6721c05260?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now! (647) 558-2263Virtual Open House: View our units by ...","$1,965.00",City of Toronto,Archibald Mews,< 24 hours ago
3,List Of 1Bed + Den With & Without Parking  At Front & Spadina,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/list-of-1bed-den-with-without-parking-at-front-spadina/1647474727,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/83/83bc11ef-f4e5-4b0c-b209-75e91e7c9c3e?rule=kijijica-200-jpg,"Luxury 1 Bedroom + Den Condo in Downtown Toronto Front And Spadina Steps To Ttc, Rogers Centre, Cn Tower, Harbourfront And Sobey's. Great amenities. Front and Spadina City Place LIST OF UNITS WITHOUT ...","$2,450.00",City of Toronto,Church Street,22/01/2023
4,$2250 for Fully renovated Basement in Scarborough,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2250-for-fully-renovated-basement-in-scarborough/1647568446,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/06/06388f33-a441-4f09-8304-89e01c8eb3e5?rule=kijijica-200-jpg,Location! Location! Location! Newly renovated 2 bedroom Basement apartment of the Semi Detached house for rent In Scarborough. One of the greatest neighbourhood Scarborough. 2 minutes drive to 401. ...,"$2,250.00",City of Toronto,Wellesley Street East,< 24 hours ago
5,Downtown Large 1 Bedroom Apartment for Rent - 80 Wellesley Stree,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-large-1-bedroom-apartment-for-rent-80-wellesley-stree/1647844124,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/3d/3d7a37db-b24b-43ea-b02d-667414bd13df?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now! (647) 558-2263Virtual Open House: View our units by ...","$2,375.00",Toronto,Spadina Avenue,< 22 minutes ago
6,Bedroom Legal Basement Apartmet in Whitby Shores Neighborhood.,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bedroom-legal-basement-apartmet-in-whitby-shores-neighborhood/1647525945,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d1/d1c55543-6c67-4de4-9406-b208237c4679?rule=kijijica-200-jpg,2 Bedroom Legal Basement Apartmet in Whitby Shores Neighborhood. Utilities 70/30 split (30% on you) - Newly Renovated - Very Cozy & Bright - All bedrooms have a window and the basement is above grade ...,"$1,850.00",City of Toronto,Front Street West,17/01/2023
7,Basement apartment  for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment-for-rent/1647525726,,"one room with an attached washroom, including all utilities, near to bus stop, grocery stores, and shopping mall. ideal for girls/student","$1,000.00",City of Toronto,Blackwell Avenue,17/01/2023
8,1 Bedroom &Den,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den/1647525303,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e6/e6a51e6b-7281-4186-b57b-8996ef1e08f2?rule=kijijica-200-jpg,Beautifully furnished bedroom plus den located in south Etobicoke with south facing views of lake Ontario and CN tower. Partially furnished unit great for 2 people looking for a simple life style ...,"$2,575.00",City of Toronto,Osterhout Place,17/01/2023
9,Independent new 2 bedrooms basement,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/independent-new-2-bedrooms-basement/1647524968,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4c/4c47dd85-c287-4818-b945-c752bf2e0e6c?rule=kijijica-200-jpg,• For Rent Immediately ---- Steels and Dufferin: • Independent oversized new 2 bedrooms basement with separate entrance One of the best North York neighborhoods - Steels and Dufferin— • postal code ...,"$2,150.00",City of Toronto,Church Street,17/01/2023
10,MAIN FLOOR BEDROOMS & 2 WASHROOMS PRIME LOCATION IN SCARBOROUGH,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-floor-bedrooms-2-washrooms-prime-location-in-scarborough/1647524877,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/56/562b5188-ebde-4d5c-994e-410e2a2974cb?rule=kijijica-200-jpg,"Major intersection: Lawrence and Markham Few Private Parking available Most Amenities are walking distances Only 2 mins walk from Bus stop (24 hours service route 54E), many Asian groceries (India ...",Please Contact,City of Toronto,Wellesley Street East,17/01/2023
