Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,3 Bedroom - 5 Brockley,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-5-brockley/1646734644,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8a/8a1f20fc-72fd-4e68-bdcf-a6d805a96d5b?rule=kijijica-200-jpg,"The building is situated one block east of Midland Avenue and one block north of Lawrence Avenue East on a quiet street! Three-Bedroom available Now Monthly rent from $2,985 plus electricity Parking ...","$2,985.00",City of Toronto,Brockley Drive,< 24 hours ago
2,2 Bedroom - Upper Canada 110/140/160 Erskine,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-upper-canada-110-140-160-erskine/1646340489,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b2/b264d9a5-2738-4875-9fc5-a04960a2c5a5?rule=kijijica-200-jpg,"Upper Canada Apartments offers you access to restaurants, shopping, theatres, schools, and much more! Two-Bedroom available March Monthly rent from $2,685 -$2,695 plus electricity Parking is $165 - ...","$2,685.00",City of Toronto,Archibald Mews,< 24 hours ago
3,Brand new 1 Bed + Den Condo * Spacious & Heart of the city,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1-bed-den-condo-spacious-heart-of-the-city/1646403964,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fc/fcd21e8e-caaf-4f6d-8903-8b14fe950be4?rule=kijijica-200-jpg,"Looking for a professional couple or tenant that is reliable, courteous, and willing to treat the unit as their own. The unit is brand new and has yet to have any tenants occupy it. Move in date ...","$2,500.00",City of Toronto,University Avenue,< 20 hours ago
4,1BR & 2BR New Condo units available at Yonge & Eglinton !!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-new-condo-units-available-at-yonge-eglinton/1639923777,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8a/8ac406d4-787b-4ae7-af24-431879865159?rule=kijijica-200-jpg,"Looking for a couple/working professionals to lease New Condo units at Yonge & Eglinton Ave W available immediately !! Steps to Eglinton TTC Subway Station, Direct Underground Access to ...","$2,400.00",City of Toronto,Pearl Street,14/01/2023
5,Bachelor - 110/140/160 Erskine Ave,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-110-140-160-erskine-ave/1643640860,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/7c/7c1e0b0b-ade5-4826-9502-16cc864642e8?rule=kijijica-200-jpg,"Upper Canada Apartments offers you access to restaurants, shopping, theatres, schools, and much more! Bachelor available March Monthly rent from $1,975 plus electricity Parking is $165 - 175 monthly ...","$1,975.00",City of Toronto,Dundas Street East,< 24 hours ago
6,3 Bedroom and 2 washroom,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-and-2-washroom/1644798090,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/53/5310a680-83a7-4e25-b7b2-e5495ed7b17e?rule=kijijica-200-jpg,"2 bed plus den and 2 washroom STUDENTS AND NEW IMMIGRANTS ARE WELCOME Call me at 6478637672 for more info Perfect location for Universal of Toronto, Ryerson and Niagara College students. It's at a ...","$3,675.00",City of Toronto,Whiteside Place,20/12/2022
7,"CHARMING, SPACIOUS 1 BEDRM WALK OUT BASEMENT AVAILABLE FOR RENT",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/charming-spacious-1-bedrm-walk-out-basement-available-for-rent/1644797513,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/03/03fc4a67-b3ce-4352-8c11-54e3f92aace3?rule=kijijica-200-jpg,"Located in a high demand area, Bayview and Steels Bright, Warm, and Inviting 1 bedroom Apartment, plus 1/3 of all utilities This is a 1 bedroom 1 bathrooms eat-in kitchen, separate dining and living ...","$1,999.00",City of Toronto,Yonge Street,20/12/2022
8,2 Bedroom - Broadview/Pape/O'Connor,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-broadview-pape-oconnor/1644793293,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b36c0eb-7896-4cac-9185-6c581ae707a5?rule=kijijica-200-jpg,"993 Square Feet of Clean Bright & Airy Space For Your Enjoyment W/ A Private Walk-Out Entry, Above Grade Windows & New Flooring. Beautiful Kitchen W Stainless Steel Appliances, Range Hood, Stone ...","$1,900.00",City of Toronto,Roehampton Avenue,20/12/2022
9,Main floor for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-floor-for-rent/1644788662,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/05/0576a8ed-3a90-4301-8396-d6cd72db4e84?rule=kijijica-200-jpg,Main floor for rent 3 rooms $ 3000 plus 65 % utilities included 2 parking spaces,"$3,000.00",City of Toronto,University Avenue,20/12/2022
10,Large One Bedroom in Mimico (Toronto),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-one-bedroom-in-mimico-toronto/1644789223,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/84/84d32c6d-39da-469d-93fd-51d9a555c76d?rule=kijijica-200-jpg,"Large, Luxury One Bedroom plus Den/Dining Room with Guest Bathroom • On the shore of Lake Ontario • Spacious 910 sq ft with tall ceilings • Fully Renovated • West facing, partial view of Lake Ontario ...","$2,550.00",City of Toronto,Pearl Street,20/12/2022
11,2-Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent/1644787962,,"Beautiful two-bedroom, two bathroom apartment for rent. Very close to Yonge and Eglinton. Building has a pool, a gym and a beautiful courtyard. Pet friendly. Available January 1. Rent is $2600/month.","$2,600.00",City of Toronto,Bay Street,20/12/2022
12,BLOOR AND OSSINGTON AVESpacious 3 bdrm   1st and 2nd floor,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloor-and-ossington-ave-spacious-3-bdrm-1st-and-2nd-floor/1644776992,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/42/42aa6538-110b-4486-a483-0c9127d27ddc?rule=kijijica-200-jpg,"Spacious 3 bedroom apartment in high demand prime location, walking distance to Ossington subway station , schools, Christie Pits Park, College street, and local shops and restaurants with laundromat ...","$3,800.00",City of Toronto,Hayter Street,20/12/2022
13,Luxurious 2-Bedroom Townhome for rent - south Etobicoke,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-2-bedroom-townhome-for-rent-south-etobicoke/1644763844,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/82/825080de-4a91-4dfd-bd8f-3ce88618323e?rule=kijijica-200-jpg,"A Must-See Luxurious 2-Bedroom Townhome Built By Dwell City Towns. Open Concept Living Space With Modern Kitchen Cabinetry, High-End Finishes, Quartz Counters, Marble Backsplash, S/S Appliances. Open ...","$2,700.00",City of Toronto,Willowdale Avenue,20/12/2022
14,1 bedroom available in 2 bedroom apartment near fairview mall,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-in-2-bedroom-apartment-near-fairview-mall/1637542798,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c8/c8038e95-e178-41f2-829a-948ce0cb4bd7?rule=kijijica-200-jpg,1 fully furnished bedroom available in a 2 bedroom apartment. The house is very clean. All utilities are included. 2 minutes walk to don mills station. 5 minutes walk to fairview mall. 15th January ...,"$1,300.00",City of Toronto,Cummer Avenue,20/12/2022
15,Basement For Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-for-rent/1644770391,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/09/092fef66-1028-471e-bbcf-911831d54a19?rule=kijijica-200-jpg,"Basement For Rent Newly Renovated Basement Apartment For Rent. Available ASAP. Walking Distance To Parks and Schools. 5 Min Drive To Shops, Malls, Dining and Highway! Great Area For Students Or Young ...","$2,300.00",City of Toronto,Broadview Avenue,20/12/2022
16,Brand new condo apt .for rent near Kipling station,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-condo-apt-for-rent-near-kipling-station/1644769880,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2c/2c60a5c7-ba29-4963-8241-e4b788441915?rule=kijijica-200-jpg,"Brand new condo apartment .,never occupied .Modern facilities steps away from Kipling station on Dundas St .Rent $2350.00 per month","$2,350.00",City of Toronto,Woodville Avenue,20/12/2022
