Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,Buy Condo with Zero Down near Lawrence / Kingston -RENT TO OWN,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/buy-condo-with-zero-down-near-lawrence-kingston-rent-to-own/1625489341,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/16/167f9cc9-9c85-4c5a-aca5-b019d71763b7?rule=kijijica-200-jpg,Program # 1 -- Buy House with Our Zero Down Program Program # 2 -- Buy House with Rent To Own Program * Special Program for Self-Employed* * Special Program for New Immigrants* * Any Credit or No ...,Please Contact,City of Toronto,Lawrence Avenue East,12/01/2023
2,1 Bedroom Large Apt. for Rent Steps to Victoria Park Station!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-large-apt-for-rent-steps-to-victoria-park-station/1636404248,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/aff94955-434f-4562-a1ae-31d442997456?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,549.00",City of Toronto,Galloway Road,08/01/2023
3,Downtown 1 Bedroom Apartment for Rent - 15 Dundonald Street,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-apartment-for-rent-15-dundonald-street/1639868866,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/21/21a048db-b5dd-40bb-b480-34af0b5c6d5b?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call: (647) 492-7020Virtual Open House: View our units by ...","$2,370.00",City of Toronto,Denton Avenue,< 24 hours ago
4,1 Bedrooms: Brand New Luxury Building In King West,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedrooms:-brand-new-luxury-building-in-king-west/1632120276,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e4/e46390c4-a807-4e41-8193-6dcd44f196ce?rule=kijijica-200-jpg,Just Opened! Brand New Luxury Rental Building On Wellington! Live in the heart of King West! Brand new luxury rental building offering a variety of 1 Bedroom and 1+ Den Floorplans. Move in anywhere ...,"$2,591.00",Toronto,MacEy Avenue,< 6 hours ago
5,Penthouse 2-Bedroom + Den For Rent !  Woodbine/Gerrard!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/penthouse-2-bedroom-den-for-rent-woodbine-gerrard/1628292511,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/96/968faa4d-da39-4df9-88af-dfb8aac707b0?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$3,595.00",City of Toronto,Spadina Avenue,04/01/2023
6,1 BED+DEN | 2 BATH - CONDO FOR RENT - TORONTO | YONGE ST,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-2-bath-condo-for-rent-toronto-yonge-st/1647499798,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/022b899a-6f42-450e-a8b6-26bbf2b471db?rule=kijijica-200-jpg,"1 Bedroom+Den | 2 Bathrooms, Upgraded Kitchen, Dishwasher, Microwave, Stainless Steel Appliances, Stone Countertops, Upgraded Bathrooms, Upgraded Back Splash, Tons of Natural Light. OPEN 24/7 - HAVE ...","$2,495.00",City of Toronto,Wellington Street West,< 19 hours ago
7,1 BED | 1 BATH - CONDO APT - ETOBICOKE | BLOOR ST W,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-condo-apt-etobicoke-bloor-st-w/1648066286,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a6/a6619531-ccd9-427d-a987-75765b63a90c?rule=kijijica-200-jpg,"1 Bedroom | 1 Bathroom, Brand New Kitchen, Stainless Steel Appliances, Dishwasher, Microwave, Quartz Countertops, Vinyl Floors. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 Note: The ...","$2,245.00",City of Toronto,Yonge Street,< 19 hours ago
8,1 BED | 1 BATH - CONDO FOR RENT - TORONTO | THE QUEENSWAY,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-condo-for-rent-toronto-the-queensway/1647093869,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/81/812a31a7-5bc1-4bd0-a282-f13c0d5f2048?rule=kijijica-200-jpg,"1 Bedroom | 1 Bathroom, Upgraded Kitchen, Dishwasher, Stainless Steel Appliances, Stone Countertops, Upgraded Bathrooms, Upgraded Back Splash, Huge Private Terrace, Tons of Natural Light. OPEN 24/7 - ...","$2,515.00",City of Toronto,Roehampton Avenue,< 19 hours ago
9,3 BED | 1 BATH - MAIN FLOOR UNIT - NORTH YORK | ISLINGTON AVE,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bed-1-bath-main-floor-unit-north-york-islington-ave/1647638354,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/44/44db3d28-a583-4929-9104-fd796db96d03?rule=kijijica-200-jpg,"3 Bedrooms | 1 Bathroom, Upgraded Kitchen, Stainless Steel Appliances, Dishwasher, Quartz Countertops, Personal Thermostat, Private Garage. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 ...","$2,749.00",City of Toronto,The East Mall,< 19 hours ago
10,3 BED | 2 BATH - SEMI DETACHED HOUSE FOR RENT - NORTH YORK,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bed-2-bath-semi-detached-house-for-rent-north-york/1647093569,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/9b/9b1f954c-a560-41d7-ae82-6788ed37882e?rule=kijijica-200-jpg,"3 Bedrooms | 2 Bathrooms, Upgraded Kitchen, Stainless Steel Appliances, Microwave, Stone Countertops, Hardwood Floors, Fireplace. OPEN 24/7 - HAVE QUESTIONS? CALL US ANY TIME: 905-385-8150 Note: The ...","$2,645.00",City of Toronto,Gibbs Road,< 19 hours ago
