Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,NEW BACHELOR; FURNISHED; !!LUXURY!! YONGE/BLOOR. $2300,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-bachelor-furnished-luxury-yonge-bloor-2300/1646560112,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4e/4ee040c6-1373-477b-8e3e-9af80dc5442b?rule=kijijica-200-jpg,Sophisticated Bachelor Condominium In The Heart Of Central Toronto! Walk score 97!! Spacious 463 Sqft + 75 Sqft balcony! One Of The Biggest Studio Units With Unobstructed Breathtaking North View. ...,"$2,300.00",City of Toronto,Jarvis Street,21/01/2023
2,Scarborough1 Bedroom Apartment for Rent - 35 Greenbrae Circuit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough1-bedroom-apartment-for-rent-35-greenbrae-circuit/1596795032,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c0/c09ae1e8-d76c-44ca-8d20-4996155908c6?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (647) 261-9483Virtual Open House: View our units by clicking ...","$2,228.00",City of Toronto,Ted Rogers Way,< 4 hours ago
3,Bloor and Spadina,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloor-and-spadina/1647587302,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/04/04055691-1231-4480-bbc5-649e9fdafa7f?rule=kijijica-200-jpg,Large 2 bedroom apartment in the heart of the Anex. Located above El Furniture Warehouse on the second floor. 410 Bloor St. West. Please TEXT only 416 518 4830,"$3,000.00",City of Toronto,Lawrence Avenue East,< 22 hours ago
4,*Newley Renovated* 1 Bedroom - 2350 Birchmount Road,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newley-renovated-1-bedroom-2350-birchmount-road/1644862219,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/99/99e80f2b-60e2-4840-bf77-859e2d0233a5?rule=kijijica-200-jpg,"The property is located close to Agincourt Mall, at the corner of Birchmount Road and Sheppard Avenue. One-Bedroom available April Monthly rent from $2,325 plus electricity Parking is $130 - $160 ...","$2,325.00",City of Toronto,Greencedar Circuit,< 24 hours ago
5,Luxury 3 Bedrooms in King West! 1.5 Months Free!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-3-bedrooms-in-king-west-1-5-months-free/1632300463,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8f/8fbe6edd-9b25-411b-84fe-08419abe5d2a?rule=kijijica-200-jpg,FIND YOUR NEXT LUXURY 3 BEDROOM HOME IN THE HEART OF KING WEST! BRAND NEW BUILDING! 1.5 MONTHS FREE AND AN ANNUAL MEMBERSHIP TO CLIO ON SELECT SUITES! Move in anywhere from February to September! ...,"$4,525.00",Toronto,Bloor Street West,< 6 hours ago
6,INDX- Studio for Rent - Adelaide/Bay/Richmond Street W.,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/indx-studio-for-rent-adelaide-bay-richmond-street-w/1648129520,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b1/b1efb527-c92d-495e-894f-f5d34b335b19?rule=kijijica-200-jpg,"Top notch affordable clean Studio with a spacious walk-in closet in downtown core financial district center. Walking distance to Nathan Phillips Square, Eaton Centre, PATH walkway, St Michael’s ...",Please Contact,City of Toronto,Brunswick Avenue,< 21 hours ago
7,1-3 Bedrooms Apartments for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-3-bedrooms-apartments-for-rent/1648128480,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5c/5c39d339-3ee1-49ff-ac12-a982c21ca848?rule=kijijica-200-jpg,Are you searching for your next dream home in the Greater Toronto Area? Look no further! We have a wide variety of 1-3 bedroom apartments available for rent in some of the most desirable ...,Please Contact,City of Toronto,Sheppard Avenue East,< 21 hours ago
8,Rooms for rent in north york detached house,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rooms-for-rent-in-north-york-detached-house/1648128282,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/71/714632ff-c85a-469a-8ca5-2fe56daec80e?rule=kijijica-200-jpg,"Located on the Second Floors of detached house, close to Finch & Don mills intersection 3 min Walk to TTC bus stop, 939/925/90 connect to finch subway station, Donmills subway station, STC subway ...",$900.00,City of Toronto,Amethyst Road,< 21 hours ago
9,Condo for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent/1648128155,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/12/120c2c24-e280-40ef-b74e-28233473cd42?rule=kijijica-200-jpg,South beach Condos - beautiful building with luxury amenities 90 parklawn road $2500/month,"$2,500.00",City of Toronto,Spadina Avenue,< 21 hours ago
10,231 Fort York Blvd - 1 Bed   Den W/ Parking and Locker For Rent!,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/231-fort-york-blvd-1-bed-den-w-parking-and-locker-for-rent/1648127708,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ac/ac682bae-39ea-48a8-9af2-9e2a37867743?rule=kijijica-200-jpg,"Beautiful and functional 1 bedroom and den with 1 washroom, parking/bike rack and locker available for rent! New washer/dryer, stainless appliances and brand new flooring installed. Steps to TTC, ...","$2,625.00",City of Toronto,Wellington Street West,< 21 hours ago
